dataset,family,variant,method,source_layer,rate_source,rate_MAE,rate_RMSE,rate_PearsonR,rate_N,waveform_CCC,waveform_MAE,waveform_DTW,waveform_N,strict_CCC,strict_MAE,strict_RMSE,strict_DTW,strict_NMAE_span,strict_NRMSE_span,strict_NDTW_span,strict_N,cycle_ppi_mae_s,cycle_ie_abs_err,diag_NIS_Mean,diag_NIS_InBand,diag_Lambda_Mean,diag_Stability_Sec,diag_N
COHFACE,OF,Base,of_farneback,20260409_cohface_allfamily_full_dataset,signal_spectral,0.2900,0.3900,0.8900,160,0.7111,0.5758,0.4520,160,0.0069,0.2358,0.2689,0.2322,0.2834,0.3281,0.2765,160,0.9136,0.2174,,,,,160
COHFACE,OF,OSSM-KF,of_farneback__kfstd,20260409_cohface_allfamily_full_dataset,track_hz,0.5500,0.6550,0.7300,160,0.7745,0.5098,0.4061,160,0.0904,0.8701,1.1234,0.6497,1.0501,1.3431,0.8121,160,0.6658,0.1430,,,,60.4000,160
COHFACE,OF,family_PARH,of_farneback__parh_ossm,20260409_cohface_allfamily_full_dataset,track_hz,0.5150,0.5650,0.7350,160,0.7893,0.5058,0.4028,160,0.0885,0.9347,1.1577,0.6860,1.0435,1.3683,0.8496,160,0.7275,0.1987,0.9366,0.9278,1.0198,9.8500,160
COHFACE,OF_bridge,Base,of_disp_bridge,20260409_cohface_allfamily_full_dataset,signal_spectral,0.2450,0.3250,0.9000,160,0.6850,0.6290,0.4658,160,-0.0239,0.2497,0.2957,0.2342,0.2975,0.3409,0.2786,160,0.7231,0.4941,,,,,160
COHFACE,OF_bridge,OSSM-KF,of_disp_bridge__kfstd,20260409_cohface_allfamily_full_dataset,track_hz,0.2600,0.3400,0.8300,160,0.7237,0.5780,0.4378,160,-0.3256,1.0433,1.3196,0.6270,1.1955,1.5727,0.7299,160,0.6941,0.3284,,,,59.8000,160
COHFACE,OF_bridge,family_PARH,of_disp_bridge__parh_ossm,20260409_cohface_allfamily_full_dataset,track_hz,0.2700,0.3550,0.8500,160,0.7352,0.5791,0.4304,160,-0.3368,1.0450,1.3126,0.6216,1.1986,1.5742,0.7320,160,0.6654,0.3500,0.8400,0.9495,1.0146,17.0500,160
COHFACE,DoF,Base,DoF,20260409_cohface_allfamily_full_dataset,signal_spectral,2.4000,4.0150,0.3700,160,0.4375,0.7918,0.5509,160,0.0002,347.0568,537.4422,347.4034,377.8282,566.5448,377.5698,160,1.8646,0.2647,,,,,160
COHFACE,DoF,OSSM-KF,dof__kfstd,20260409_cohface_allfamily_full_dataset,track_hz,3.1100,3.2500,0.3000,160,0.5960,0.7097,0.4607,160,0.1758,0.6634,0.8306,0.5294,0.7435,0.9378,0.6243,160,1.3854,0.2144,,,,26.5250,160
COHFACE,DoF,family_PARH,dof__parh_ossm,20260409_cohface_allfamily_full_dataset,track_hz,2.1950,2.3600,0.3750,160,0.5843,0.7237,0.4685,160,0.1770,0.6653,0.8340,0.5315,0.7568,0.9459,0.6202,160,1.4396,0.2100,0.8913,0.9570,1.0091,41.1750,160
COHFACE,DoF_bridge,Base,dof_disp_bridge,20260409_cohface_allfamily_full_dataset,signal_spectral,1.9900,3.1450,0.3600,160,0.5599,0.7315,0.4939,160,-0.0206,0.2461,0.2881,0.2162,0.2959,0.3419,0.2580,160,1.6654,0.3138,,,,,160
COHFACE,DoF_bridge,OSSM-KF,dof_disp_bridge__kfstd,20260409_cohface_allfamily_full_dataset,track_hz,2.6750,2.8450,0.2550,160,0.6636,0.6641,0.4445,160,-0.0755,0.7698,0.9389,0.5115,0.8301,1.0410,0.6078,160,1.2862,0.2455,,,,44.2500,160
