video,data_file,method,rate_source,MAE,RMSE,MAPE,PearsonR,n_windows,est_bpm_avg,gt_bpm_avg,track_hz_median,track_hz_std,external_output_blend_mean,external_posterior_blend_mean
mahnob_10,mahnob_10.pkl,parh_ossm,final_track_hz,2.47,2.83,18.88,0.51,107,16.097200262396985,13.681165160517775,0.2684574847496918,0.0371976177088251,0.19871521379189339,0.06793026686210414
mahnob_10,mahnob_10.pkl,parh_ossm,native_smoothed_track_hz,2.68,2.98,20.72,0.46,107,16.327069461830124,13.681165160517775,0.2712550712056065,0.05354504826766937,0.19871521379189339,0.06793026686210414
mahnob_10,mahnob_10.pkl,parh_ossm,native_causal_track_hz,2.42,2.82,18.69,0.33,107,15.931981252880092,13.681165160517775,0.27025968459532346,0.08739481411953016,0.19871521379189339,0.06793026686210414
mahnob_10,mahnob_10.pkl,parh_ossm,external_output_rate_t,2.58,2.98,19.51,0.57,107,16.239018716408875,13.681165160517775,0.27886859193841446,0.03439681282766476,0.19871521379189339,0.06793026686210414
mahnob_10,mahnob_10.pkl,parh_ossm,external_rate_posterior_mode_t,3.67,3.87,28.07,0.59,107,17.355908694216108,13.681165160517775,0.2858533929086007,0.020612623152122984,0.19871521379189339,0.06793026686210414
mahnob_10,mahnob_10.pkl,parh_ossm,external_rate_posterior_mean_t,2.03,2.33,15.81,0.51,107,15.619055969367244,13.681165160517775,0.256372151062363,0.020277761040122657,0.19871521379189339,0.06793026686210414
mahnob_10,mahnob_10.pkl,parh_ossm,state_freq_t,2.74,3.13,21.16,0.3,107,16.330727232344465,13.681165160517775,0.27561986725110577,0.024682476535204226,0.19871521379189339,0.06793026686210414
mahnob_1042,mahnob_1042.pkl,parh_ossm,final_track_hz,3.28,3.66,25.85,0.43,78,14.333893742027472,14.230819704668857,0.24076499482363628,0.02671354663108448,0.2297791995505823,0.02507041881464792
mahnob_1042,mahnob_1042.pkl,parh_ossm,native_smoothed_track_hz,3.03,3.41,25.19,0.57,78,14.899239934159205,14.230819704668857,0.2384552722449935,0.05883700710167758,0.2297791995505823,0.02507041881464792
mahnob_1042,mahnob_1042.pkl,parh_ossm,native_causal_track_hz,3.02,3.53,23.1,0.51,78,13.720154323486085,14.230819704668857,0.2302900463311964,0.09523374201248189,0.2297791995505823,0.02507041881464792
