table,dataset,method_variant,method,source_layer,result_dir,trial_count,headline_or_supplementary,gt_use,notes
T3_rate_main.csv,COHFACE,Base,profile1D quadratic,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T3_rate_main.csv,COHFACE,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T3_rate_main.csv,COHFACE,PARH,parh_ossm,final_full_validation/cohface,/home/gongjae/Projects/resPyre/results/final_full_validation/cohface,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T3_rate_main.csv,MAHNOB,Base,profile1D quadratic,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T3_rate_main.csv,MAHNOB,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T3_rate_main.csv,MAHNOB,PARH,parh_ossm,final_full_validation/mahnob_tailaligned,/home/gongjae/Projects/resPyre/results/final_full_validation/mahnob_tailaligned,525,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4_waveform_main.csv,COHFACE,Base,profile1D quadratic,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4_waveform_main.csv,COHFACE,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4_waveform_main.csv,COHFACE,PARH,parh_ossm,final_full_validation/cohface,/home/gongjae/Projects/resPyre/results/final_full_validation/cohface,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4_waveform_main.csv,MAHNOB,Base,profile1D quadratic,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4_waveform_main.csv,MAHNOB,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4_waveform_main.csv,MAHNOB,PARH,parh_ossm,final_full_validation/mahnob_tailaligned,/home/gongjae/Projects/resPyre/results/final_full_validation/mahnob_tailaligned,525,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4b_waveform_strict.csv,COHFACE,Base,profile1D quadratic,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4b_waveform_strict.csv,COHFACE,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4b_waveform_strict.csv,COHFACE,PARH,parh_ossm,final_full_validation/cohface,/home/gongjae/Projects/resPyre/results/final_full_validation/cohface,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4b_waveform_strict.csv,MAHNOB,Base,profile1D quadratic,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4b_waveform_strict.csv,MAHNOB,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4b_waveform_strict.csv,MAHNOB,PARH,parh_ossm,final_full_validation/mahnob_tailaligned,/home/gongjae/Projects/resPyre/results/final_full_validation/mahnob_tailaligned,525,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4c_cycle_main.csv,COHFACE,Base,profile1D quadratic,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4c_cycle_main.csv,COHFACE,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4c_cycle_main.csv,COHFACE,PARH,parh_ossm,final_full_validation/cohface,/home/gongjae/Projects/resPyre/results/final_full_validation/cohface,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4c_cycle_main.csv,MAHNOB,Base,profile1D quadratic,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4c_cycle_main.csv,MAHNOB,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T4c_cycle_main.csv,MAHNOB,PARH,parh_ossm,final_full_validation/mahnob_tailaligned,/home/gongjae/Projects/resPyre/results/final_full_validation/mahnob_tailaligned,525,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T6_diagnostics_main.csv,COHFACE,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T6_diagnostics_main.csv,COHFACE,PARH,parh_ossm,final_full_validation/cohface,/home/gongjae/Projects/resPyre/results/final_full_validation/cohface,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T6_diagnostics_main.csv,MAHNOB,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_mahnob_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,488,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
T6_diagnostics_main.csv,MAHNOB,PARH,parh_ossm,final_full_validation/mahnob_tailaligned,/home/gongjae/Projects/resPyre/results/final_full_validation/mahnob_tailaligned,525,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
S_T_final_observation_class_comparison.csv,COHFACE,Base,of_farneback,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,of_farneback__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,of_farneback__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,Base,of_disp_bridge,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,of_disp_bridge__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,of_disp_bridge__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,Base,DoF,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,dof__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,dof__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,Base,dof_disp_bridge,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,dof_disp_bridge__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,dof_disp_bridge__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,Base,profile1D linear,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,profile1d_linear__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
