dataset,group,group_label,median_reliability_score,median_timing_reliability_score,median_timing_reliability_score_v3,median_morphology_reliability_score,median_event_timing_score,median_macro_timing_support_score,median_bridge_timing_score,median_abstain_score,median_soft_group_weight,top_group_trial_share,median_group_support_score,median_rate_phase_support_score,median_morphology_support_score,median_preprocessing_invariance_score,median_roi_observability_score,median_nuisance_penalty_score,median_harmonic_guard_score,median_cross_abs_corr,median_cross_residual_norm,median_cross_abs_lag_sec,median_support_group_count,n_trials,n_windows
COHFACE,G_P1D_cons,P1D_cons,0.8316203634495429,0.7429873218825305,0.7479446899264616,0.7953957176684243,0.6812883482213008,0.6354645313080665,0.9498824537310181,0.2056635849273289,0.1616235755124947,0.8,0.6845720765325898,0.9561828874675149,0.7682725216410751,0.9094880321657808,0.8735804647362989,0.7790351290015463,1.0,0.8716241648979157,0.4794753944725001,0.1875,6.0,160,9
COHFACE,G_P1D_morph,P1D_quad/cub,0.8234752650448001,0.7343816305556374,0.7431073927923715,0.7832239265726867,0.6985367807075256,0.6439100211191994,0.9030755598028327,0.21481134323178835,0.15969943390679117,0.175,0.6684912961613572,0.9561828874675149,0.7560795515023098,0.86609534662934,0.8735804647362989,0.7752902132145598,1.0,0.8596076062731784,0.5035588255965343,0.1875,6.0,160,9
COHFACE,G_OF,OF,0.789709673353097,0.7092150412609843,0.6874361425589559,0.7459908753872615,0.6421089970795462,0.6948195282078821,0.6283265313472306,0.2567812343165681,0.15227124593357164,0.00625,0.6353097150616303,0.9176629354822471,0.7327158034884942,0.7989805722376444,0.8735804647362989,0.7553660704222054,1.0,0.8328236823008731,0.5492223175871939,0.25,6.0,160,9
COHFACE,G_P1D_low,P1D_lin,0.7784055536497202,0.7068512337720476,0.6999164459967551,0.7420162783701869,0.6422511062341119,0.5913065422188781,0.870305386202688,0.26229842593013675,0.15178262987472446,0.01875,0.635166776485075,0.9176629354822471,0.7183961613729367,0.7965836452638124,0.8735804647362989,0.7504773505419646,1.0,0.8145002214173949,0.571809386403576,0.25,6.0,160,9
COHFACE,G_OF_bridge,OF_bridge,0.7302016885165481,0.6674496576868216,0.6580859475688539,0.6971910794116005,0.6249159370750814,0.5447249017800846,0.6283265313472306,0.30965689038831695,0.13924640014754952,0.0,0.49659009822217104,0.7844645405527362,0.7144306184649822,0.8535346023669563,0.8735804647362989,0.6432788340568328,1.0,0.809733788376422,0.5849635164935972,1.0,6.0,160,9
COHFACE,G_DoF_bridge,DoF_bridge,0.697245469120997,0.6185765861687494,0.524239257179919,0.6731365974817027,0.5524103304166867,0.5763188435443284,0.3807421716720381,0.3333333333333333,0.14084851811922863,0.0,0.5017639828407043,0.7734145244026562,0.6190894102997152,0.8262877059014562,0.8735804647362989,0.6842383051551016,1.0,0.6679686574596938,0.7417676354338403,0.4375,6.0,160,9
COHFACE,G_DoF,DoF,0.6070721793888347,0.5401092929361997,0.4924466048828734,0.6016470511540666,0.4514280599352745,0.48344476668455916,0.38074217167203805,0.4158779408574073,0.12131620269995583,0.0,0.3875645446479927,0.658971678973147,0.6000912638393143,0.7094789470586307,0.8735804647362989,0.5781120004382746,0.8333333333333334,0.637290533441315,0.770372460381878,1.375,6.0,160,9
MAHNOB_tailaligned,G_P1D_cons,P1D_cons,0.6581090136974913,0.5759227224088991,0.5786488253063271,0.6073935620379309,0.3763360676122828,0.39423600037174006,0.9133616950536367,0.38528907540285606,0.1632085126059746,0.6209523809523809,0.36450699255128755,0.7417981870189158,0.5406664830811452,0.855677836826809,0.8735804647362989,0.6068205408848486,1.0,0.5380001014167617,0.8408772990741342,0.9375,6.0,488,24
MAHNOB_tailaligned,G_P1D_morph,P1D_quad/cub,0.6310060185129028,0.5678642875790185,0.5614405641707381,0.5779520309913687,0.343678473274981,0.3816935977087235,0.8830265437926811,0.4098839005704147,0.15683029578006974,0.04380952380952381,0.3635505387687535,0.7396002616336389,0.5297376258908293,0.716492442031124,0.8735804647362989,0.6096882962676599,1.0,0.5197784640517495,0.8522757076907348,0.875,6.0,488,24
MAHNOB_tailaligned,G_P1D_low,P1D_lin,0.626608887006891,0.5607706417708868,0.5574165598285459,0.5757440796438921,0.3462981866942811,0.3796006868848475,0.8699621683749873,0.4126449066407393,0.1556365066670739,0.047619047619047616,0.35088397045146424,0.7242859683401482,0.5255481352675372,0.7307148766951179,0.8735804647362989,0.597525547151261,1.0,0.5127946258346223,0.856558480183937,1.0,6.0,488,24
MAHNOB_tailaligned,G_OF,OF,0.5905068175326788,0.5131167836106694,0.3856744470341219,0.5463018475958368,0.3032402156612949,0.41099656271614937,0.05189076343096079,0.45509406922908924,0.14871246396029056,0.06666666666666667,0.29755877367729766,0.6246950475544243,0.5042831389087659,0.7654684758917699,0.8735804647362989,0.5382783604336214,1.0,0.4775366397564704,0.8779973913901122,1.6875,6.0,525,24
MAHNOB_tailaligned,G_DoF_bridge,DoF_bridge,0.5888434499714686,0.5208797102058591,0.46103314937375983,0.5434801112759627,0.3917816654059736,0.3908443023876821,0.34473067921733513,0.44847015790557937,0.15080390930381843,0.09142857142857143,0.2805114772267209,0.6172133998483676,0.49865011730864933,0.8074598625686156,0.8735804647362989,0.5126502872905689,1.0,0.4681196329965531,0.8828687931866207,2.0625,6.0,525,24
MAHNOB_tailaligned,G_DoF,DoF,0.5562377227654656,0.49220038449451836,0.4465715345458917,0.5478826504110612,0.36327456971507144,0.3844245478840047,0.34473067921733513,0.4523694174137983,0.14147275799554,0.10857142857142857,0.2874472997236356,0.5624232526070407,0.501162904634298,0.7991235407451152,0.8735804647362989,0.5215512427785598,0.6666666666666667,0.4723876017850155,0.880540549970189,1.9375,6.0,525,24
MAHNOB_tailaligned,G_OF_bridge,OF_bridge,0.419087831465988,0.3745462919174481,0.27910756384308005,0.5391056890410475,0.35430909329719573,0.3382984281742464,0.05189076343096079,0.5,0.1039053614526492,0.02095238095238095,0.28195492034414504,0.49097312954577244,0.4862056074722679,0.7836439270646985,0.8735804647362989,0.5266465165499894,0.16666666666666674,0.447491595082653,0.893215843219824,1.8125,6.0,525,24
