dataset,family,stage,trial_count,corr_wave_best_delta_mean,corr_wave_best_delta_median,ccc_wave_best_z_delta_mean,ccc_wave_best_z_delta_median,corr_deriv_best_delta_mean,corr_deriv_best_delta_median,peak_error_hz_delta_mean,peak_error_hz_delta_median,lowfreq_energy_ratio_delta_mean,lowfreq_energy_ratio_delta_median,highfreq_energy_ratio_delta_mean,highfreq_energy_ratio_delta_median
MAHNOB,DoF,bandpass_only,525,0.0721849965866525,0.06959323795439248,0.0721849965866525,0.06959323795439248,0.06827138318777778,0.06364746997859,0.015492087923873037,0.0,0.07342976420149538,0.06683427214260099,-0.920622979929086,-0.9411604419200372
MAHNOB,DoF,current_preprocess,525,0.15447298878224983,0.14842119148926158,0.15447298878224983,0.14842119148926158,0.06922229501067337,0.06544935407355079,0.00025397155556413926,0.0,0.12372260195165823,0.1201219850633313,-0.7737850928970088,-0.7857967581387533
MAHNOB,DoF,detrend_only,525,-0.018477656653376997,-0.0107074371213642,-0.018477656653376993,-0.0107074371213642,3.8659551750340274e-19,0.0,-0.00038095337143114643,0.0,-5.782460884996227e-05,-4.61062870900017e-06,0.00011395314878475233,1.2948029760595503e-05
MAHNOB,DoF,helper_preprocess,525,0.047710561426109695,0.0459363510008333,0.047710561426109695,0.0459363510008333,0.06568923800632413,0.059791206985669504,0.014857164977835284,0.0,0.060456712255748155,0.0564651919153029,-0.9268784542371291,-0.9473754388350197
MAHNOB,DoF,robust_zscore_only,525,0.04734654586301718,0.042666333283931504,0.04734654586301718,0.042666333283931504,0.0007933406223408545,0.0009328467281465996,-0.000761903441266407,0.0,0.018382237499568452,0.015164215117991599,-0.10886356189459469,-0.10142538370769105
MAHNOB,DoF,sign_align_only,525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHNOB,OF,bandpass_only,525,0.08454812846472681,0.0824962725530947,0.08454812846472681,0.0824962725530947,0.06853109778685748,0.06663088288226116,-0.07441281627967154,0.0,0.03021767228016022,0.0285720886217043,-0.9182832965724557,-0.9316242019652251
MAHNOB,OF,current_preprocess,525,0.09420464340833457,0.09042515962991655,0.09420464340833457,0.09042515962991655,0.05787561054717003,0.057523537008753255,-0.018666697701667997,0.0,0.034496441253351086,0.032349878415774455,-0.5178098988037322,-0.524416226975698
MAHNOB,OF,detrend_only,525,-0.0014594931597957431,-0.0002230819597443005,-0.001459493159795743,-0.0002230819597443005,-2.4073713544167935e-19,0.0,0.0,0.0,1.994044314315765e-06,-5.7697254150009415e-08,-4.515608906866372e-06,1.5075802178854403e-07
MAHNOB,OF,helper_preprocess,525,0.09087547188557045,0.0856214340160293,0.09087547188557045,0.0856214340160293,0.06569629649361056,0.06309098149356879,-0.061460413866917335,0.0,0.034110366968770324,0.0315577708265347,-0.9439103568931694,-0.9575247259475668
MAHNOB,OF,robust_zscore_only,525,0.04431746961609606,0.037244586145235,0.04431746961609606,0.037244586145235,0.0006013625946047627,0.0014137159433712503,-0.04444451179700053,-0.0666666666666666,0.005171367082971421,0.0035603437054599497,-0.12603281962835905,-0.11810772350449439
MAHNOB,OF,sign_align_only,525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHNOB,OF_bridge,bandpass_only,525,0.08454812846472681,0.0824962725530947,0.08454812846472681,0.0824962725530947,0.06853109778685748,0.06663088288226116,-0.07441281627967154,0.0,0.03021767228016022,0.0285720886217043,-0.9182832965724557,-0.9316242019652251
MAHNOB,OF_bridge,current_preprocess,525,0.09420464340833457,0.09042515962991655,0.09420464340833457,0.09042515962991655,0.05787561054717003,0.057523537008753255,-0.018666697701667997,0.0,0.034496441253351086,0.032349878415774455,-0.5178098988037322,-0.524416226975698
MAHNOB,OF_bridge,detrend_only,525,-0.0014594931597957431,-0.0002230819597443005,-0.001459493159795743,-0.0002230819597443005,-2.4073713544167935e-19,0.0,0.0,0.0,1.994044314315765e-06,-5.7697254150009415e-08,-4.515608906866372e-06,1.5075802178854403e-07
MAHNOB,OF_bridge,helper_preprocess,525,0.09087547188557045,0.0856214340160293,0.09087547188557045,0.0856214340160293,0.06569629649361056,0.06309098149356879,-0.061460413866917335,0.0,0.034110366968770324,0.0315577708265347,-0.9439103568931694,-0.9575247259475668
MAHNOB,OF_bridge,robust_zscore_only,525,0.04431746961609606,0.037244586145235,0.04431746961609606,0.037244586145235,0.0006013625946047627,0.0014137159433712503,-0.04444451179700053,-0.0666666666666666,0.005171367082971421,0.0035603437054599497,-0.12603281962835905,-0.11810772350449439
MAHNOB,OF_bridge,sign_align_only,525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHNOB,P1D_cub,bandpass_only,488,0.17535447926347086,0.14223506846865297,0.17535447926347084,0.14223506846865291,0.06202864288984913,0.0577137653866472,-0.2389348176512909,-0.2666673600018027,0.47449133346791333,0.5322846946837938,-0.9530066145671208,-0.996578277085459
MAHNOB,P1D_cub,current_preprocess,488,0.06247435624992316,0.058465807065536904,0.06247435624992316,0.058465807065536904,0.04860136225699305,0.0459562403434666,0.020628439098422532,0.0,0.01047282510883521,0.006992418408142622,-0.31074116701368165,-0.30024804612141237
MAHNOB,P1D_cub,detrend_only,488,-0.00407287362228209,-0.00010600272250355005,-0.004072873622282088,-0.00010600272250355005,-4.9766657097695287e-20,0.0,0.0001366123770501039,0.0,-1.796458739131058e-05,1.1144237476533162e-09,3.003241614789969e-05,-4.373008566371794e-09
MAHNOB,P1D_cub,helper_preprocess,488,0.08301833704558724,0.08388477743007064,0.08301833704558724,0.08388477743007064,0.059645362232041914,0.054985407048990895,-0.076502861885583,-0.06666666666666671,0.022475400512248788,0.01924016849606019,-0.9077614022037528,-0.9414294198987142
MAHNOB,P1D_cub,robust_zscore_only,488,0.013530167326001057,0.009667354082126798,0.013530167326001057,0.009667354082126798,-0.003150481449401118,-0.0004084834071743995,-0.05696730795106625,-0.0666666666666666,-0.0015127158111603494,0.00046245189964892096,-0.019579003867172456,-0.012206697775583308
MAHNOB,P1D_cub,sign_align_only,488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHNOB,P1D_lin,bandpass_only,488,0.17429225144697477,0.14185735639095934,0.17429225144697477,0.14185735639095937,0.062162616511526096,0.057080675542360695,-0.229235355574766,-0.2666673600018027,0.47456906150253464,0.532155295801421,-0.9525157246715426,-0.9955552284978482
MAHNOB,P1D_lin,current_preprocess,488,0.07222138305643819,0.06986330871560924,0.07222138305643819,0.06986330871560924,0.04933067841294037,0.04784003776846725,0.014890724590200872,0.0,0.015130427222533376,0.0138644204175509,-0.35195794634869443,-0.3656432109928796
MAHNOB,P1D_lin,detrend_only,488,-0.004112343513674803,-0.0001472455666219506,-0.004112343513674805,-0.0001472455666219506,2.2430543306175516e-18,0.0,0.00027322475410020754,0.0,-1.783813715926369e-05,-5.770024325406036e-10,2.9637981261308595e-05,1.1574245450951537e-09
MAHNOB,P1D_lin,helper_preprocess,488,0.08530600158649551,0.08480584760723785,0.08530600158649551,0.08480584760723785,0.06144002424034222,0.05588976923943335,-0.0778689863664684,-0.06666666666666682,0.025109589571116486,0.022776024253279546,-0.9114178999447159,-0.9469425270338947
MAHNOB,P1D_lin,robust_zscore_only,488,0.0041997817830369925,0.0062965525122212485,0.0041997817830369925,0.0062965525122212485,-0.003439427758182425,-0.0011359054368291488,-0.060109393688795185,-0.06666666666666671,-0.0021435437359044926,0.0003343934790748,0.009289176806810968,-0.0073997756692742445
MAHNOB,P1D_lin,sign_align_only,488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHNOB,P1D_quad,bandpass_only,488,0.1753145432781788,0.14269228365857406,0.17531454327817877,0.14269228365857406,0.06200347368434431,0.0577035469822619,-0.23920804631250508,-0.3333333333333332,0.47450905247019853,0.532260482027749,-0.9529637044144803,-0.9965124204424956
MAHNOB,P1D_quad,current_preprocess,488,0.06283161113892974,0.05855113211456555,0.06283161113892972,0.05855113211456555,0.048503155170056426,0.0461647183258241,0.01912569975414177,0.0,0.010693983021973743,0.007298339890937924,-0.31247977188422354,-0.3025412655289889
MAHNOB,P1D_quad,detrend_only,488,-0.004066782297189435,-0.00012475618505085025,-0.004066782297189436,-0.00012475618505085025,-2.708728050603129e-18,0.0,0.00027322404371584694,0.0,-1.7908687888022387e-05,1.1700385206025782e-10,2.9901791576547576e-05,1.3677584065341364e-09
MAHNOB,P1D_quad,helper_preprocess,488,0.08303272119842642,0.08450864973915614,0.08303272119842642,0.08450864973915614,0.05938751601345343,0.05399300696661939,-0.07704931565608958,-0.06666666666666676,0.022655981530625362,0.0195075457011285,-0.9078816456109767,-0.9415696815048373
MAHNOB,P1D_quad,robust_zscore_only,488,0.013870029832712306,0.0096255517419866,0.013870029832712304,0.0096255517419866,-0.003192536232056392,-0.00047159541609630064,-0.05915310527348355,-0.0666666666666666,-0.0014751915556023248,0.0005115015622041433,-0.02059009590347348,-0.01287307203113125
MAHNOB,P1D_quad,sign_align_only,488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHNOB-HCI,DoF_bridge,bandpass_only,525,0.0504835228168258,0.04585091424493888,0.0504835228168258,0.04585091424493888,0.05818479736646673,0.0525211243619802,-0.022349246298516572,0.0,0.022582654876816523,0.019343946224012136,-0.8417204286319881,-0.845287840572968
MAHNOB-HCI,DoF_bridge,current_preprocess,525,0.07110464578570888,0.06548881557401266,0.07110464578570887,0.06548881557401266,0.0506905192414922,0.050016695967063714,-0.006857154412728458,0.0,0.040733317512361734,0.0358539064000521,-0.5579585874938106,-0.5623543587002837
MAHNOB-HCI,DoF_bridge,detrend_only,525,-7.30624494436695e-12,-3.836181372562919e-12,-7.306245175663415e-12,-3.836195250350727e-12,3.8329128231106595e-19,0.0,0.0,0.0,-3.85412654998368e-14,-4.796510411075872e-15,9.235258060936671e-14,1.8762769116165146e-14
MAHNOB-HCI,DoF_bridge,helper_preprocess,525,0.05977541974341609,0.053415053026972935,0.05977541974341609,0.053415053026972935,0.0556685126754711,0.04898333655489923,-0.016888920914368985,0.0,0.027580391555893206,0.022965005055688967,-0.8581742383675081,-0.8613430975185958
MAHNOB-HCI,DoF_bridge,robust_zscore_only,525,0.00043695649745247424,6.938893903907228e-18,0.0004369564974524738,6.938893903907228e-18,-8.901956220082719e-05,0.0,0.0006349196444418693,0.0,8.693655296008986e-05,4.336808689942018e-19,-0.00047523434668272,-1.1102230246251565e-16
MAHNOB-HCI,DoF_bridge,sign_align_only,525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAHNOB-HCI,P1D_cons,bandpass_only,488,-0.0010513084660038938,0.0014718488184689155,-0.0010513084660038936,0.001471848818468912,3.440309554986079e-05,-0.0004524935306904291,-0.02240440745910967,0.0,-0.005126920965374773,-0.0021912760014562395,-0.03808303890096415,-0.036563692113801546
MAHNOB-HCI,P1D_cons,current_preprocess,488,0.011444127378628937,0.001609135018169519,0.011444127378628937,0.001609135018169519,0.0015596711845025553,0.00047242966849881524,-0.010109302404404833,0.0,0.012312102218103313,0.0007942620329335869,0.006829300744202368,-0.004915127097414705
MAHNOB-HCI,P1D_cons,detrend_only,488,-0.0006244355180870034,-0.0001646013357343816,-0.000624435518087003,-0.0001646013357343816,-1.3165946873256351e-18,0.0,0.00013661202185792352,0.0,-2.5469139148282536e-05,-6.362206584195271e-07,2.4075065576226804e-06,4.017230793851301e-08
MAHNOB-HCI,P1D_cons,helper_preprocess,488,0.0008517361992781245,0.002305245305965542,0.0008517361992781234,0.002305245305965549,-0.0010327720238135604,-0.0008637113675076316,-0.0161202434426876,0.0,-0.002413060377751999,-0.0010639210336296267,-0.04001524791916321,-0.03820320032945608
MAHNOB-HCI,P1D_cons,robust_zscore_only,488,0.010559679444631997,1.3877787807814457e-17,0.010559679444631995,1.3877787807814457e-17,0.001651416547907437,0.0,-0.005191261803291618,0.0,0.011487599767688525,1.734723475976807e-18,0.013226026671858612,0.00015611012082332454
MAHNOB-HCI,P1D_cons,sign_align_only,488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
