check,severity,status,path,detail
main_T3_COHFACE_PARH_MAE,error,pass,paper/main.tex,token='0.335'
main_T3_COHFACE_PARH_RMSE,error,pass,paper/main.tex,token='0.410'
main_T3_COHFACE_PARH_PearsonR,error,pass,paper/main.tex,token='0.855'
main_T3_MAHNOB_PARH_MAE,error,pass,paper/main.tex,token='2.410'
main_T3_MAHNOB_PARH_RMSE,error,pass,paper/main.tex,token='2.920'
main_T3_MAHNOB_PARH_PearsonR,error,pass,paper/main.tex,token='0.230'
main_T4_COHFACE_PARH_CCC,error,pass,paper/main.tex,token='0.859'
main_T4_COHFACE_PARH_MAE,error,pass,paper/main.tex,token='0.423'
main_T4_COHFACE_PARH_DTW,error,pass,paper/main.tex,token='0.347'
main_T4_MAHNOB_PARH_CCC,error,pass,paper/main.tex,token='0.342'
main_T4_MAHNOB_PARH_MAE,error,pass,paper/main.tex,token='0.910'
main_T4_MAHNOB_PARH_DTW,error,pass,paper/main.tex,token='0.661'
main_T4b_COHFACE_PARH_CCC,error,pass,paper/main.tex,token='0.157'
main_T4b_COHFACE_PARH_NMAE_span,error,pass,paper/main.tex,token='0.548'
main_T4b_COHFACE_PARH_NDTW_span,error,pass,paper/main.tex,token='0.292'
main_T4b_MAHNOB_PARH_CCC,error,pass,paper/main.tex,token='0.000'
main_T4b_MAHNOB_PARH_NMAE_span,error,pass,paper/main.tex,token='0.258'
main_T4b_MAHNOB_PARH_NDTW_span,error,pass,paper/main.tex,token='0.257'
main_T4c_COHFACE_PARH_peak_time_mae_s,error,pass,paper/main.tex,token='1.334'
main_T4c_COHFACE_PARH_trough_time_mae_s,error,pass,paper/main.tex,token='1.896'
main_T4c_COHFACE_PARH_cycle_ppi_mae_s,error,pass,paper/main.tex,token='0.347'
main_T4c_COHFACE_PARH_cycle_ie_abs_err,error,pass,paper/main.tex,token='0.090'
main_T4c_MAHNOB_PARH_peak_time_mae_s,error,pass,paper/main.tex,token='10.174'
main_T4c_MAHNOB_PARH_trough_time_mae_s,error,pass,paper/main.tex,token='9.943'
main_T4c_MAHNOB_PARH_cycle_ppi_mae_s,error,pass,paper/main.tex,token='1.480'
main_T4c_MAHNOB_PARH_cycle_ie_abs_err,error,pass,paper/main.tex,token='0.269'
main_T7_failure_mode,error,pass,paper/main.tex,token='Bounded by current observation bank'
main_T7_count_bounded_or_no_clear_room,error,pass,paper/main.tex,token='400'
main_T7_failure_mode,error,pass,paper/main.tex,token='Source-selection room with posterior evidence'
main_T7_count_source_selection_room_posterior_available,error,pass,paper/main.tex,token='60'
main_T7_failure_mode,error,pass,paper/main.tex,token='Source-selection room with agreement evidence'
main_T7_count_source_selection_room_agreement_available,error,pass,paper/main.tex,token='35'
main_T7_failure_mode,error,pass,paper/main.tex,token='Likely video/reference limited'
main_T7_count_likely_video_or_reference_limited,error,pass,paper/main.tex,token='19'
main_T7_failure_mode,error,pass,paper/main.tex,token='Oracle room but weak label-free evidence'
main_T7_count_oracle_room_but_gtfree_evidence_weak,error,pass,paper/main.tex,token='9'
main_T7_failure_mode,error,pass,paper/main.tex,token='Very low label-free observability'
main_T7_count_low_target_observability,error,pass,paper/main.tex,token='2'
T2_observation_class_order,error,pass,paper/tables_ready/T2_observation_class_map.csv,"observed=['OF', 'OF_bridge', 'DoF', 'DoF_bridge', 'P1D_lin', 'P1D_quad', 'P1D_cub', 'P1D_cons']; expected=['OF', 'OF_bridge', 'DoF', 'DoF_bridge', 'P1D_lin', 'P1D_quad', 'P1D_cub', 'P1D_cons']"
index_current_source_policy,error,pass,paper/FIGURE_TABLE_INDEX.md,token='F3_rate_observation_class_summary.pdf'
index_current_source_policy,error,pass,paper/FIGURE_TABLE_INDEX.md,token='T2_observation_class_map.csv'
index_current_source_policy,error,pass,paper/FIGURE_TABLE_INDEX.md,token='T7_observability_failure_taxonomy.csv'
index_current_source_policy,error,pass,paper/FIGURE_TABLE_INDEX.md,token='S_T_final_observation_class_comparison.csv'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='target_reliability_no_go_20260427'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='robust_model_correction_plan_20260427'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='source_supervised_reliability_probe_summary_20260427'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='mahnob_tailaligned_cohort_penalty_fixedbank_bounded10_light_summary_20260427'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='target_reliability_graph_report_20260429'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='target_reliability_graph_parh_probe_20260429'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='windowed_target_reliability_graph_report_20260429'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='mahnob_failure_mode_decomposition_20260429'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='analysis/*20260427*'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='tab:target_reliability_probe'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='0.145\\pm1.54'
active_stale_token_absent,error,pass,paper/main.tex,stale_token='0.911\\pm0.08'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='target_reliability_no_go_20260427'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='robust_model_correction_plan_20260427'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='source_supervised_reliability_probe_summary_20260427'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='mahnob_tailaligned_cohort_penalty_fixedbank_bounded10_light_summary_20260427'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='target_reliability_graph_report_20260429'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='target_reliability_graph_parh_probe_20260429'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='windowed_target_reliability_graph_report_20260429'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='mahnob_failure_mode_decomposition_20260429'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='analysis/*20260427*'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='tab:target_reliability_probe'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='0.145\\pm1.54'
active_stale_token_absent,error,pass,paper/FIGURE_TABLE_INDEX.md,stale_token='0.911\\pm0.08'
