dataset,trial_id,mat_path,mat_exists,has_raw_frames,has_xsub,has_d_br,has_d_ppg,has_d_ekg,n_frames,rawframes_shape,d_br_shape,label_scope,read_error
SCAMPS,P000001,dataset/SCAMPS/scamps_videos/P000001.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000002,dataset/SCAMPS/scamps_videos/P000002.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000003,dataset/SCAMPS/scamps_videos/P000003.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000004,dataset/SCAMPS/scamps_videos/P000004.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000005,dataset/SCAMPS/scamps_videos/P000005.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000006,dataset/SCAMPS/scamps_videos/P000006.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000007,dataset/SCAMPS/scamps_videos/P000007.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000008,dataset/SCAMPS/scamps_videos/P000008.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000009,dataset/SCAMPS/scamps_videos/P000009.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000010,dataset/SCAMPS/scamps_videos/P000010.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000011,dataset/SCAMPS/scamps_videos/P000011.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000012,dataset/SCAMPS/scamps_videos/P000012.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000013,dataset/SCAMPS/scamps_videos/P000013.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000014,dataset/SCAMPS/scamps_videos/P000014.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000015,dataset/SCAMPS/scamps_videos/P000015.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000016,dataset/SCAMPS/scamps_videos/P000016.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000017,dataset/SCAMPS/scamps_videos/P000017.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000018,dataset/SCAMPS/scamps_videos/P000018.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000019,dataset/SCAMPS/scamps_videos/P000019.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000020,dataset/SCAMPS/scamps_videos/P000020.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000021,dataset/SCAMPS/scamps_videos/P000021.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000022,dataset/SCAMPS/scamps_videos/P000022.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000023,dataset/SCAMPS/scamps_videos/P000023.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000024,dataset/SCAMPS/scamps_videos/P000024.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000025,dataset/SCAMPS/scamps_videos/P000025.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000026,dataset/SCAMPS/scamps_videos/P000026.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000027,dataset/SCAMPS/scamps_videos/P000027.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000028,dataset/SCAMPS/scamps_videos/P000028.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000029,dataset/SCAMPS/scamps_videos/P000029.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000030,dataset/SCAMPS/scamps_videos/P000030.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000031,dataset/SCAMPS/scamps_videos/P000031.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000032,dataset/SCAMPS/scamps_videos/P000032.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000033,dataset/SCAMPS/scamps_videos/P000033.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000034,dataset/SCAMPS/scamps_videos/P000034.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000035,dataset/SCAMPS/scamps_videos/P000035.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000036,dataset/SCAMPS/scamps_videos/P000036.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000037,dataset/SCAMPS/scamps_videos/P000037.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000038,dataset/SCAMPS/scamps_videos/P000038.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000039,dataset/SCAMPS/scamps_videos/P000039.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000040,dataset/SCAMPS/scamps_videos/P000040.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000041,dataset/SCAMPS/scamps_videos/P000041.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000042,dataset/SCAMPS/scamps_videos/P000042.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000043,dataset/SCAMPS/scamps_videos/P000043.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000044,dataset/SCAMPS/scamps_videos/P000044.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000045,dataset/SCAMPS/scamps_videos/P000045.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000046,dataset/SCAMPS/scamps_videos/P000046.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000047,dataset/SCAMPS/scamps_videos/P000047.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000048,dataset/SCAMPS/scamps_videos/P000048.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000049,dataset/SCAMPS/scamps_videos/P000049.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000050,dataset/SCAMPS/scamps_videos/P000050.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000051,dataset/SCAMPS/scamps_videos/P000051.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000052,dataset/SCAMPS/scamps_videos/P000052.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000053,dataset/SCAMPS/scamps_videos/P000053.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000054,dataset/SCAMPS/scamps_videos/P000054.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000055,dataset/SCAMPS/scamps_videos/P000055.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000056,dataset/SCAMPS/scamps_videos/P000056.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000057,dataset/SCAMPS/scamps_videos/P000057.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000058,dataset/SCAMPS/scamps_videos/P000058.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000059,dataset/SCAMPS/scamps_videos/P000059.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000060,dataset/SCAMPS/scamps_videos/P000060.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000061,dataset/SCAMPS/scamps_videos/P000061.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000062,dataset/SCAMPS/scamps_videos/P000062.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000063,dataset/SCAMPS/scamps_videos/P000063.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000064,dataset/SCAMPS/scamps_videos/P000064.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000065,dataset/SCAMPS/scamps_videos/P000065.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000066,dataset/SCAMPS/scamps_videos/P000066.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000067,dataset/SCAMPS/scamps_videos/P000067.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000068,dataset/SCAMPS/scamps_videos/P000068.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000069,dataset/SCAMPS/scamps_videos/P000069.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000070,dataset/SCAMPS/scamps_videos/P000070.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000071,dataset/SCAMPS/scamps_videos/P000071.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000072,dataset/SCAMPS/scamps_videos/P000072.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000073,dataset/SCAMPS/scamps_videos/P000073.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000074,dataset/SCAMPS/scamps_videos/P000074.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000075,dataset/SCAMPS/scamps_videos/P000075.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000076,dataset/SCAMPS/scamps_videos/P000076.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000077,dataset/SCAMPS/scamps_videos/P000077.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000078,dataset/SCAMPS/scamps_videos/P000078.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000079,dataset/SCAMPS/scamps_videos/P000079.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000080,dataset/SCAMPS/scamps_videos/P000080.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000081,dataset/SCAMPS/scamps_videos/P000081.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000082,dataset/SCAMPS/scamps_videos/P000082.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000083,dataset/SCAMPS/scamps_videos/P000083.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000084,dataset/SCAMPS/scamps_videos/P000084.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000085,dataset/SCAMPS/scamps_videos/P000085.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000086,dataset/SCAMPS/scamps_videos/P000086.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000087,dataset/SCAMPS/scamps_videos/P000087.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000088,dataset/SCAMPS/scamps_videos/P000088.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000089,dataset/SCAMPS/scamps_videos/P000089.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000090,dataset/SCAMPS/scamps_videos/P000090.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000091,dataset/SCAMPS/scamps_videos/P000091.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000092,dataset/SCAMPS/scamps_videos/P000092.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000093,dataset/SCAMPS/scamps_videos/P000093.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000094,dataset/SCAMPS/scamps_videos/P000094.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000095,dataset/SCAMPS/scamps_videos/P000095.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000096,dataset/SCAMPS/scamps_videos/P000096.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
SCAMPS,P000097,dataset/SCAMPS/scamps_videos/P000097.mat,True,True,True,True,True,True,600,3x320x240x600,600x1,synthetic_waveform_rate,
