dataset,observation_class,variant,case_rank,panel_id,video,method,data_file,output_type,causal_or_smoothed,metric_name,metric_value,waveform_CCC,waveform_MAE,waveform_DTW,latency_ms,rate_MAE,rate_RMSE,rate_PearsonR,rate_source,preferred_output_type
COHFACE,DoF_bridge,Base,bottom,COHFACE_DoF_bridge_Base_bottom,cohface_1_3,dof_disp_bridge,data/cohface_1_3.pkl,signal_hat,smoothed,waveform_CCC,0.2811,0.2811,0.9189,0.6865,-1093.7500,2.7600,3.4800,0.5700,signal_spectral,signal_hat
COHFACE,DoF_bridge,Base,median,COHFACE_DoF_bridge_Base_median,cohface_1_3,dof_disp_bridge,data/cohface_1_3.pkl,signal_hat,smoothed,waveform_CCC,0.2811,0.2811,0.9189,0.6865,-1093.7500,2.7600,3.4800,0.5700,signal_spectral,signal_hat
COHFACE,DoF_bridge,Base,top,COHFACE_DoF_bridge_Base_top,cohface_1_3,dof_disp_bridge,data/cohface_1_3.pkl,signal_hat,smoothed,waveform_CCC,0.2811,0.2811,0.9189,0.6865,-1093.7500,2.7600,3.4800,0.5700,signal_spectral,signal_hat
COHFACE,OF_bridge,Base,bottom,COHFACE_OF_bridge_Base_bottom,cohface_1_3,of_disp_bridge,data/cohface_1_3.pkl,signal_hat,smoothed,waveform_CCC,0.3365,0.3365,1.0979,0.9504,-24906.2500,4.2400,5.6800,0.4300,signal_spectral,signal_hat
COHFACE,OF_bridge,Base,median,COHFACE_OF_bridge_Base_median,cohface_1_3,of_disp_bridge,data/cohface_1_3.pkl,signal_hat,smoothed,waveform_CCC,0.3365,0.3365,1.0979,0.9504,-24906.2500,4.2400,5.6800,0.4300,signal_spectral,signal_hat
COHFACE,OF_bridge,Base,top,COHFACE_OF_bridge_Base_top,cohface_1_3,of_disp_bridge,data/cohface_1_3.pkl,signal_hat,smoothed,waveform_CCC,0.3365,0.3365,1.0979,0.9504,-24906.2500,4.2400,5.6800,0.4300,signal_spectral,signal_hat
COHFACE,OF_bridge,PARH,bottom,COHFACE_OF_bridge_PARH_bottom,cohface_1_3,of_disp_bridge__parh_ossm,data/cohface_1_3.pkl,z_full,smoothed,waveform_CCC,0.3376,0.3376,0.8922,0.6844,-218.7500,5.9700,6.0600,-0.3800,track_hz,z_full
COHFACE,OF_bridge,PARH,median,COHFACE_OF_bridge_PARH_median,cohface_1_3,of_disp_bridge__parh_ossm,data/cohface_1_3.pkl,z_full,smoothed,waveform_CCC,0.3376,0.3376,0.8922,0.6844,-218.7500,5.9700,6.0600,-0.3800,track_hz,z_full
COHFACE,OF_bridge,PARH,top,COHFACE_OF_bridge_PARH_top,cohface_1_3,of_disp_bridge__parh_ossm,data/cohface_1_3.pkl,z_full,smoothed,waveform_CCC,0.3376,0.3376,0.8922,0.6844,-218.7500,5.9700,6.0600,-0.3800,track_hz,z_full
COHFACE,P1D_cons,Base,bottom,COHFACE_P1D_cons_Base_bottom,cohface_1_3,profile1d_consensus,data/cohface_1_3.pkl,signal_hat,smoothed,waveform_CCC,0.7663,0.7663,0.4096,0.3856,687.5000,0.1300,0.1600,0.7600,signal_spectral,signal_hat
