video,method,family,q_obs_mean,q_obs_median,q_dyn_raw_mean,q_dyn_raw_median,q_dyn_mean,q_dyn_median,q_osc_mean,q_osc_median,obs_osc_support_mean,obs_osc_support_median,obs_full_support_mean,obs_full_support_median,obs_nonosc_need_mean,obs_nonosc_need_median,obs_nonosc_need_eff_mean,obs_nonosc_need_eff_median,residual_prior_mean,residual_prior_median,aper_drive_mean,aper_drive_median,helper_trust_mean,helper_trust_median,helper_bias_conf_mean,helper_bias_conf_median,pi_mean,pi_median,lambda_mean,lambda_median,lambda_lt095_frac,nu_mean,nu_median,R_mean,R_median,helper_mismatch_mean,helper_mismatch_median,freq_rescue_active_frac,output_rate_blend_active_frac,obs_fit_corr,obs_fit_rmse,obs_lag_sec,obs_g_h1,obs_g_h2,obs_g_b,obs_g_r,Qosc_scale_mean,Qaper_scale_mean,baseline_energy_ratio,residual_energy_ratio,max_abs_zfull_minus_zosc,max_abs_zosc_causal_minus_smoothed
cohface_10_0,of_farneback__parh_ossm,OF,0.9257318877114219,0.9695546141382566,0.5645923142045259,0.6247293512101322,0.5645923142045259,0.6247293512101322,0.8582440445344591,0.8937552432126467,0.9245588808309366,0.9754013940055775,0.9463318981231507,0.9915904191768338,0.0575951153052349,0.021951510575311972,,,,,,,1.0,1.0,0.0,0.0,0.9257318877114219,0.9695546141382566,1.016007547737944,1.0,0.05867970660146699,137.12117085107693,200.0,0.17552738422017303,0.07715085132826928,0.06296764077667112,0.04989239210506691,0.0,0.2787286063569682,,,0.0,1.0,1.0,1.0,1.0,1.2822961571022629,1.5670238218621635,0.0009743576448012286,0.0039056058351226116,0.47727224631967413,1.1252810826151363
cohface_10_0,of_disp_bridge__parh_ossm,OF_bridge,0.9278137195098649,0.9754986528114301,0.5204901361634665,0.48661525999280264,0.5204901361634665,0.48661525999280264,0.6940270779331388,0.6668589762111266,0.965094844316373,0.9764754961800574,0.9985863130519446,0.9996738844374449,0.030121467388066505,0.018894203929584186,,,,,,,1.0,1.0,0.0,0.0,0.9278137195098649,0.9754986528114301,1.014807103184604,1.0,0.0,161.43037186438133,200.0,0.03372375087715912,0.029921956364530634,0.0504708574583232,0.039060529087882406,0.0,0.05623471882640587,,,0.0,1.0,1.0,1.0,1.0,1.2602450680817332,2.223891688267445,0.053735506321085244,0.00848215129738469,0.5123587120417483,0.6179846893643142
cohface_10_0,dof__parh_ossm,DoF,0.9307804772365433,0.9702612728493458,0.596938570363672,0.7350979148364754,0.596938570363672,0.7350979148364754,0.6477948611633977,0.6199280129553206,0.9817577693056594,0.9928870076790524,0.997265730879148,0.999185285357399,0.015546821346189716,0.0063390653645902795,,,,,,,1.0,1.0,0.0,0.0,0.9307804772365433,0.9702612728493458,1.0243411114993057,1.0,0.0,142.0337380075282,200.0,0.03922298261386992,0.03550180376045765,0.08986442739390936,0.06216454538854804,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.298469285181836,2.4088205553464093,0.013360615998721976,0.006965214580584649,0.3379921540079014,0.4692940548497396
cohface_10_0,profile1d_linear__parh_ossm,P1D_lin,0.9285705355883769,0.9799743835675611,0.4905274937271435,0.4467547268005435,0.4905274937271435,0.4467547268005435,0.762914573158126,0.7678618830694135,0.9677433573387558,0.9937372839141719,0.9816904052387595,0.9996653531688248,0.024486434781801902,0.005830056004472728,,,,,,,1.0,1.0,0.0,0.0,0.9285705355883769,0.9799743835675611,1.0191409617867664,1.0,0.022819885900570498,157.77976084757017,200.0,0.09304510719145061,0.03343659597642462,0.050635865477711754,0.03700031516556812,0.0008149959250203749,0.0,,,0.0,1.0,1.0,1.0,1.0,1.2452637468635717,1.9483417073674958,0.007699345868803986,0.009547826651788488,0.3137316637771066,0.8846156292701064
cohface_10_0,profile1d_quadratic__parh_ossm,P1D_quad,0.9338544149056043,0.9715788148468375,0.5175998702817787,0.5217403297831344,0.28467992865497826,0.28695718138072396,0.7097517495169072,0.6948879683092017,0.9974061661031163,0.9994948727964947,0.9982243308130028,0.999526952386395,0.001508441732323103,0.00045915845174271386,,,,,,,1.0,1.0,0.0,0.0,0.9810312298142752,0.9715788148468375,1.0079742772227165,1.0,0.0,178.20327830228516,200.0,0.03773150212026185,0.03440629869792267,0.05704909104625218,0.04332124666003451,0.0,0.0,0.9948947187690081,0.08536536031243713,0.0,1.017035435883876,1.0476394182504212,0.0,0.0,1.1423399643274892,2.160993001932371,0.0,0.0,0.0,0.25866306300194125
cohface_10_0,profile1d_cubic__parh_ossm,P1D_cub,0.9342041323804834,0.9713367993975954,0.513773122414312,0.5116730897736145,0.2825752173278716,0.281420199375488,0.710817122926203,0.6950548338138067,0.9973712778081465,0.9994716707158743,0.998199740354319,0.9995004730269601,0.0015304935371432227,0.0004755313479029022,,,,,,,1.0,1.0,0.0,0.0,0.9810724627155115,0.9713367993975954,1.0075580606438668,1.0,0.0,179.19516892960885,200.0,0.037753760115933566,0.03442249076916749,0.05667607741063925,0.04254051766745903,0.0,0.0,0.994781700346286,0.08705876892133003,0.0,1.016972912952255,1.0492141791990233,0.0,0.0,1.1412876086639359,2.156731508295188,0.0,0.0,0.0,0.2603962153256607
cohface_10_1,of_farneback__parh_ossm,OF,0.9232092509701445,0.973822777790378,0.634753139088111,0.7707705282095582,0.634753139088111,0.7707705282095582,0.8266809597298256,0.8531676971583139,0.9231800120386819,0.9836832808493419,0.9374987549363656,0.9884833865920801,0.052952450128973275,0.015179268540893798,,,,,,,1.0,1.0,0.0,0.0,0.9232092509701445,0.973822777790378,1.022809503896611,1.0,0.06682966585167074,125.12602623662043,200.0,0.35975939647409627,0.10766390938850093,0.07243899404189381,0.05849997191953887,0.0016299918500407497,0.33251833740831294,,,0.0,1.0,1.0,1.0,1.0,1.3173765695440556,1.6932761610806977,0.002386406426232481,0.005396705952974992,0.5187386481717127,1.248722290675133
cohface_10_1,of_disp_bridge__parh_ossm,OF_bridge,0.9305999041569221,0.9696491746117676,0.517584182739399,0.5107579493238317,0.517584182739399,0.5107579493238317,0.9163325775919846,0.9529070573317355,0.9683744752784346,0.9747018069733401,0.9985935536230771,0.9996859607123391,0.029609640207939526,0.023289290607888646,,,,,,,1.0,1.0,0.0,0.0,0.9305999041569221,0.9696491746117676,1.0232712621161761,1.0,0.0,156.9388742298586,200.0,0.0313206291901005,0.02860115009892333,0.05595434634841422,0.04222132752177318,0.0008149959250203749,0.3105134474327628,,,0.0,1.0,1.0,1.0,1.0,1.2587920913696995,1.3346696896320616,0.03986224938291803,0.005486310786369716,0.4640819264684177,0.599855635090934
cohface_10_1,dof__parh_ossm,DoF,0.9327487545595948,0.9619235238060868,0.6408054571653561,0.7554781061594038,0.6408054571653561,0.7554781061594038,0.6736573766302563,0.6433512010490559,0.9831515054595426,0.9942683171301372,0.9965475440630366,0.9985237080652163,0.015107458928320872,0.0053063472130922,,,,,,,1.0,1.0,0.0,0.0,0.9327487545595948,0.9619235238060868,1.0100931516757008,1.0,0.0,170.51127926234327,200.0,0.03781335913182049,0.03453013519330965,0.07786186040739591,0.058728902286822926,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.320402728582678,2.305370493478975,0.0017619609689362606,0.004458971192689431,0.21855188838516865,0.780000787958008
cohface_10_1,profile1d_linear__parh_ossm,P1D_lin,0.9238182368523945,0.9800425129652324,0.5368514183173364,0.606979671891472,0.5368514183173364,0.606979671891472,0.7558214149060686,0.7560849744344822,0.973100035333937,0.9978338667791576,0.9853514646918894,0.9997666212767464,0.0196109775354346,0.0019704193506573375,,,,,,,1.0,1.0,0.0,0.0,0.9238182368523945,0.9800425129652324,1.0340481829091408,1.0,0.016299918500407497,138.86387647473893,200.0,0.08027087813704707,0.03156346779515751,0.05622715164245915,0.04911279185755371,0.0008149959250203749,0.0,,,0.0,1.0,1.0,1.0,1.0,1.2684257091586681,1.9767143403757257,0.005840264111368806,0.009701314505288966,0.38921633965672275,0.9103257142029975
