dataset,family,case_rank,panel_id,video,method,data_file,case_score,residual_energy_ratio,obs_nonosc_need_mean,q_osc_mean,obs_osc_support_mean,waveform_CCC,waveform_MAE,waveform_DTW,rate_MAE,rate_RMSE,rate_PearsonR,rate_source,baseline_energy_ratio,max_abs_zfull_minus_zosc,max_abs_zosc_causal_minus_smoothed
COHFACE,OF,high_residual,COHFACE_OF_high_residual,cohface_21_2,of_farneback__parh_ossm,data/cohface_21_2.pkl,0.9524479166666667,0.0368841372044359,0.1557850535877122,0.7153266627323834,0.7808942021016967,0.4214646392104986,0.8093819343892705,0.5763414685315776,4.67,5.14,0.33,track_hz,0.0390517487399938,1.007233900611637,2.082463945657682
COHFACE,OF,median_residual,COHFACE_OF_median_residual,cohface_19_3,of_farneback__parh_ossm,data/cohface_19_3.pkl,0.6697656249999999,0.0149020709599557,0.0902180743624929,0.8362889927041026,0.8703801651355431,0.8586430798208475,0.4231449946331961,0.3904548597181571,0.13,0.16,0.89,track_hz,0.0067374258098415,0.6875794155352986,1.5461335712454898
COHFACE,OF,low_residual,COHFACE_OF_low_residual,cohface_23_0,of_farneback__parh_ossm,data/cohface_23_0.pkl,0.28778645833333333,0.0029054590379116,0.0094457240890511,0.9369216622558922,0.9885274666708544,0.9322232055841528,0.2869768178707729,0.2827761669173512,0.11,0.15,0.36,track_hz,0.011598868653664,0.1943008999618789,0.5164388562411161
COHFACE,OF_bridge,high_residual,COHFACE_OF_bridge_high_residual,cohface_21_1,of_disp_bridge__parh_ossm,data/cohface_21_1.pkl,0.9181250000000001,0.0719908379869948,0.0685663473685012,0.6509727873945942,0.9188036871354462,0.4999832452282398,0.8010077247946865,0.6143203318136709,4.22,4.52,-0.36,track_hz,0.0194473988550058,0.632541736303998,1.0662320811290096
COHFACE,OF_bridge,median_residual,COHFACE_OF_bridge_median_residual,cohface_5_1,of_disp_bridge__parh_ossm,data/cohface_5_1.pkl,0.5841145833333333,0.0043366808263662,0.0347917668170802,0.8682283676218698,0.9523655966274728,0.6144089742722004,0.747075616308035,0.4989505966509115,0.98,1.09,-0.1,track_hz,0.003584134713376,0.4051278546490297,1.874203563492665
COHFACE,OF_bridge,low_residual,COHFACE_OF_bridge_low_residual,cohface_20_1,of_disp_bridge__parh_ossm,data/cohface_20_1.pkl,0.24763020833333335,0.0021544379133947,0.0042897295771399,0.961625960266067,0.9953452185822002,0.910352473748566,0.3472822350573078,0.3150117155604541,0.09,0.14,0.94,track_hz,0.0060725387992775,0.1762758750899632,0.2078892041714793
COHFACE,P1D_lin,high_residual,COHFACE_P1D_lin_high_residual,cohface_21_0,profile1d_linear__parh_ossm,data/cohface_21_0.pkl,0.9697395833333333,0.1057772773824894,0.0926550206928739,0.7165755244689131,0.8833308199271295,0.3220299639735511,0.9052996784449316,0.7022742492233384,9.03,9.1,0.78,track_hz,0.1002806921606124,2.063421107083069,1.8878862102195295
COHFACE,P1D_lin,median_residual,COHFACE_P1D_lin_median_residual,cohface_6_1,profile1d_linear__parh_ossm,data/cohface_6_1.pkl,0.5552083333333333,0.0033460873668721,0.0359500984209676,0.7461283598481382,0.949565462153117,0.7192934228236703,0.5493873639828328,0.5082214173948401,1.65,2.54,0.29,track_hz,0.0034630553914302,0.2693447905989066,2.0418881078666526
COHFACE,P1D_lin,low_residual,COHFACE_P1D_lin_low_residual,cohface_34_0,profile1d_linear__parh_ossm,data/cohface_34_0.pkl,0.22153645833333332,0.0010874648132253,0.0016598540411173,0.9445191806086936,0.9982225979071804,0.9096067201483254,0.3004670483588945,0.2850906791029073,0.11,0.15,0.93,track_hz,0.0009044277610497,0.1207673766286837,0.1555394678696026
COHFACE,P1D_quad,high_residual,COHFACE_P1D_quad_high_residual,cohface_32_2,profile1d_quadratic__parh_ossm,data/cohface_32_2.pkl,0.525859375,0.0,0.0345707305710282,0.8091042298556038,0.9468137048003372,0.4274486744193196,0.8637461325833438,0.5728756871709463,10.73,10.82,-0.75,track_hz,0.0,0.0,1.4480229652603458
COHFACE,P1D_quad,median_residual,COHFACE_P1D_quad_median_residual,cohface_13_3,profile1d_quadratic__parh_ossm,data/cohface_13_3.pkl,0.22822916666666668,0.0,0.0026361062508686,0.8923299078719508,0.995929664652733,0.8545476418610671,0.4304769778917289,0.3457541334673465,0.33,0.47,0.99,track_hz,0.0,0.0,0.202706723132443
