dataset,video,panel_row,panel_col,label,method,output_type,source,run_dir,data_file,waveform_CCC,visual_corr_z,visual_lag_samples,visual_window_start_s,visual_window_end_s,waveform_MAE_z,waveform_DTW_z
COHFACE,cohface_17_1,0,0,OF direct,of_farneback,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,0.0000,0.3117,29,17.5000,47.5000,0.8780,0.5501
COHFACE,cohface_17_1,0,1,OF bridge,of_disp_bridge,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,-0.0000,0.5940,-95,17.5000,47.5000,0.7075,0.5406
COHFACE,cohface_17_1,0,2,DoF direct,DoF,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,-0.0000,0.0696,-160,17.5000,47.5000,1.0279,0.6138
COHFACE,cohface_17_1,0,3,DoF bridge,dof_disp_bridge,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,-0.0000,-0.0118,-41,17.5000,47.5000,1.1888,0.6622
COHFACE,cohface_17_1,0,4,P1D lin,profile1D linear,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,0.0000,0.3133,30,17.5000,47.5000,0.9309,0.4323
COHFACE,cohface_17_1,1,0,P1D quad,profile1D quadratic,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,0.0000,0.3521,27,17.5000,47.5000,0.8745,0.3882
COHFACE,cohface_17_1,1,1,P1D cub,profile1D cubic,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,0.0000,0.3376,27,17.5000,47.5000,0.8744,0.3711
COHFACE,cohface_17_1,1,2,P1D cons,profile1d_consensus,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,0.0014,0.7452,27,17.5000,47.5000,0.5907,0.3606
COHFACE,cohface_17_1,1,3,OSSM-KF (P1D quad),profile1d_quadratic__ossm_kf,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_17_1.pkl,0.0015,0.7638,27,17.5000,47.5000,0.5792,0.3483
COHFACE,cohface_17_1,1,4,PARH-OSSM,parh_ossm,z_full,final,/home/gongjae/Projects/resPyre/results/final_full_validation/cohface,/home/gongjae/Projects/resPyre/results/final_full_validation/cohface/data/cohface_17_1.pkl,0.0008,0.8368,31,17.5000,47.5000,0.4710,0.3087
MAHNOB-HCI,mahnob_1042,2,0,OF direct,of_farneback,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_1042.pkl,-0.0000,0.0066,1280,37.5000,67.5000,1.0015,0.6425
MAHNOB-HCI,mahnob_1042,2,1,OF bridge,of_disp_bridge,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_1042.pkl,0.0000,0.0895,1280,37.5000,67.5000,1.0849,0.7510
MAHNOB-HCI,mahnob_1042,2,2,DoF direct,DoF,signal_hat,base,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons,/home/gongjae/Projects/resPyre/results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_1042.pkl,-0.0002,0.0054,1280,37.5000,67.5000,1.0119,0.7097
