dataset,observation_class,case_rank,panel_group,variant,variant_display_order,video,method,data_file,output_type,causal_or_smoothed,metric_name,metric_value,waveform_CCC,waveform_MAE,waveform_DTW,latency_ms,rate_MAE,rate_RMSE,rate_PearsonR,rate_source,dataset_display_order,row_display_order
COHFACE,P1D_quad,top,COHFACE_P1D_quad_top,Base,0,cohface_23_0,profile1D quadratic,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_23_0.pkl,signal_hat,smoothed,waveform_CCC,0.9736,0.9668,0.2027,0.2055,625.0000,0.0500,0.0800,0.9700,signal_spectral,0,0
COHFACE,P1D_quad,top,COHFACE_P1D_quad_top,OSSM-KF,1,cohface_23_0,profile1d_quadratic__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_23_0.pkl,signal_hat,smoothed,waveform_CCC,0.9736,0.9746,0.1696,0.1686,625.0000,0.0900,0.1400,0.3400,track_hz,0,0
COHFACE,P1D_quad,top,COHFACE_P1D_quad_top,PARH,2,cohface_23_0,profile1d_quadratic__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_23_0.pkl,z_full,smoothed,waveform_CCC,0.9736,0.9736,0.1740,0.1732,625.0000,0.0900,0.1400,0.2800,track_hz,0,0
COHFACE,P1D_quad,median,COHFACE_P1D_quad_median,Base,0,cohface_14_2,profile1D quadratic,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_14_2.pkl,signal_hat,smoothed,waveform_CCC,0.8464,0.8006,0.5112,0.4143,906.2500,0.1600,0.2300,0.9700,signal_spectral,0,1
COHFACE,P1D_quad,median,COHFACE_P1D_quad_median,OSSM-KF,1,cohface_14_2,profile1d_quadratic__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_14_2.pkl,signal_hat,smoothed,waveform_CCC,0.8464,0.8519,0.4160,0.3477,968.7500,0.8200,0.9500,0.9100,track_hz,0,1
COHFACE,P1D_quad,median,COHFACE_P1D_quad_median,PARH,2,cohface_14_2,profile1d_quadratic__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_14_2.pkl,z_full,smoothed,waveform_CCC,0.8464,0.8464,0.4270,0.3510,937.5000,0.7300,0.8600,0.9300,track_hz,0,1
COHFACE,P1D_quad,bottom,COHFACE_P1D_quad_bottom,Base,0,cohface_32_1,profile1D quadratic,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_32_1.pkl,signal_hat,smoothed,waveform_CCC,0.3689,0.3170,0.9438,0.7531,-6500.0000,4.3200,5.3600,0.4800,signal_spectral,0,2
COHFACE,P1D_quad,bottom,COHFACE_P1D_quad_bottom,OSSM-KF,1,cohface_32_1,profile1d_quadratic__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_32_1.pkl,signal_hat,smoothed,waveform_CCC,0.3689,0.3950,0.9309,0.6213,-6593.7500,2.9200,3.0600,-0.4800,track_hz,0,2
COHFACE,P1D_quad,bottom,COHFACE_P1D_quad_bottom,PARH,2,cohface_32_1,profile1d_quadratic__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_32_1.pkl,z_full,smoothed,waveform_CCC,0.3689,0.3689,0.9545,0.6148,-6812.5000,3.4600,3.4800,-0.0600,track_hz,0,2
MAHNOB,P1D_cons,top,MAHNOB_P1D_cons_top,Base,0,mahnob_1714,profile1d_consensus,results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_1714.pkl,signal_hat,smoothed,waveform_CCC,0.8891,0.4404,0.8699,0.7414,-52054.6875,4.8200,6.3300,0.5200,signal_spectral,1,0
