video,method,observation_class,q_obs_mean,q_obs_median,q_dyn_raw_mean,q_dyn_raw_median,q_dyn_mean,q_dyn_median,q_osc_mean,q_osc_median,obs_osc_support_mean,obs_osc_support_median,obs_full_support_mean,obs_full_support_median,obs_nonosc_need_mean,obs_nonosc_need_median,obs_nonosc_need_eff_mean,obs_nonosc_need_eff_median,residual_prior_mean,residual_prior_median,aper_drive_mean,aper_drive_median,helper_trust_mean,helper_trust_median,helper_bias_conf_mean,helper_bias_conf_median,pi_mean,pi_median,lambda_mean,lambda_median,lambda_lt095_frac,nu_mean,nu_median,R_mean,R_median,helper_mismatch_mean,helper_mismatch_median,freq_rescue_active_frac,output_rate_blend_active_frac,obs_fit_corr,obs_fit_rmse,obs_lag_sec,obs_g_h1,obs_g_h2,obs_g_b,obs_g_r,Qosc_scale_mean,Qaper_scale_mean,baseline_energy_ratio,residual_energy_ratio,max_abs_zfull_minus_zosc,max_abs_zosc_causal_minus_smoothed
mahnob_10,of_farneback__parh_ossm,OF,0.9221,0.9634,0.6854,0.8623,0.6854,0.8623,0.8064,0.8280,0.9335,0.9665,0.9811,0.9946,0.0573,0.0313,0.0573,0.0313,1.0000,1.0000,0.1936,0.1720,1.0000,1.0000,0.0000,0.0000,0.9221,0.9634,1.0172,1.0000,0.0527,129.5234,200.0000,0.0600,0.0319,0.0892,0.0681,0.0022,0.4078,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3427,1.7745,0.0238,0.0433,0.7699,1.0229
mahnob_10,of_disp_bridge__parh_ossm,OF_bridge,0.9234,0.9672,0.6127,0.7388,0.6127,0.7388,0.8733,0.9055,0.9632,0.9872,0.9988,0.9998,0.0320,0.0118,0.0320,0.0118,1.0000,1.0000,0.1267,0.0945,1.0000,1.0000,0.0000,0.0000,0.9234,0.9672,1.0364,1.0000,0.0000,140.9667,200.0000,0.0365,0.0267,0.0694,0.0565,0.0017,0.2756,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3064,1.5068,0.0056,0.0151,0.5565,1.6872
mahnob_10,dof__parh_ossm,DoF,0.9247,0.9639,0.7185,0.9313,0.7185,0.9313,0.8281,0.8397,0.9533,0.9859,0.9977,0.9996,0.0416,0.0123,0.0416,0.0123,1.0000,1.0000,0.1719,0.1603,1.0000,1.0000,0.0000,0.0000,0.9247,0.9639,1.0251,1.0000,0.0046,149.7295,200.0000,0.0328,0.0265,0.0892,0.0796,0.0000,0.0000,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3592,1.6877,0.0177,0.0198,1.3471,1.3696
mahnob_10,dof_disp_bridge__parh_ossm,DoF_bridge,0.9249,0.9648,0.7507,0.9621,0.7507,0.9621,0.6374,0.6321,0.9839,0.9919,0.9990,0.9997,0.0142,0.0070,0.0142,0.0070,1.0000,1.0000,0.3626,0.3679,1.0000,1.0000,0.0000,0.0000,0.9249,0.9648,1.0375,1.0000,0.0000,136.8951,200.0000,0.0326,0.0305,0.0974,0.0892,0.0000,0.0000,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3753,2.4502,0.0015,0.0062,0.3887,0.5387
mahnob_10,profile1d_linear__parh_ossm,P1D_lin,0.9263,0.9625,0.7511,0.9576,0.7511,0.9576,0.8189,0.8278,0.9718,0.9880,0.9979,0.9992,0.0259,0.0107,0.0259,0.0107,1.0000,1.0000,0.1811,0.1722,1.0000,1.0000,0.0000,0.0000,0.9263,0.9625,1.0289,1.0000,0.0000,141.6099,200.0000,0.0304,0.0291,0.1021,0.0889,0.0030,0.0000,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3755,1.7242,0.0086,0.0182,0.5373,0.9150
mahnob_10,profile1d_quadratic__parh_ossm,P1D_quad,0.9274,0.9597,0.7303,0.9529,0.4017,0.5241,0.8349,0.8423,0.9981,0.9992,0.9981,0.9992,0.0015,0.0007,0.0015,0.0007,1.0000,1.0000,0.1651,0.1577,1.0000,1.0000,0.0000,0.0000,0.9784,0.9700,1.0171,1.0000,0.0053,154.7264,200.0000,0.0304,0.0292,0.0991,0.0863,0.0000,0.0000,0.9848,0.1446,0.0000,0.9963,1.1724,0.0000,0.0000,1.2008,1.6604,0.0000,0.0000,0.0000,0.3880
mahnob_10,profile1d_cubic__parh_ossm,P1D_cub,0.9273,0.9597,0.7308,0.9517,0.4020,0.5234,0.8347,0.8425,0.9981,0.9992,0.9981,0.9992,0.0015,0.0007,0.0015,0.0007,1.0000,1.0000,0.1653,0.1575,1.0000,1.0000,0.0000,0.0000,0.9784,0.9700,1.0172,1.0000,0.0054,154.8984,200.0000,0.0304,0.0292,0.0991,0.0859,0.0000,0.0000,0.9837,0.1503,0.0000,0.9956,1.1708,0.0000,0.0000,1.2010,1.6614,0.0000,0.0000,0.0000,0.3890
mahnob_10,profile1d_consensus__parh_ossm,P1D_cons,0.9306,0.9611,0.7031,0.8942,0.3867,0.4918,0.8545,0.8733,0.9991,0.9996,0.9991,0.9997,0.0007,0.0003,0.0007,0.0003,1.0000,1.0000,0.1455,0.1267,1.0000,1.0000,0.0000,0.0000,0.9788,0.9700,1.0154,1.0000,0.0000,164.7585,200.0000,0.0320,0.0307,0.0860,0.0744,0.0000,0.0000,0.9871,0.1405,0.0000,0.9981,1.2399,0.0000,0.0000,1.1934,1.5819,0.0000,0.0000,0.0000,0.2623
mahnob_1042,of_farneback__parh_ossm,OF,0.9115,0.9695,0.7151,0.9116,0.7151,0.9116,0.7732,0.7847,0.8794,0.9693,0.9170,0.9905,0.0958,0.0277,0.0958,0.0277,1.0000,1.0000,0.2268,0.2153,1.0000,1.0000,0.0000,0.0000,0.9115,0.9695,1.0318,1.0000,0.0881,96.5135,20.2834,0.5606,0.0649,0.0944,0.0770,0.0023,0.3741,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3576,1.9072,0.0321,0.0464,1.4862,2.4031
mahnob_1042,of_disp_bridge__parh_ossm,OF_bridge,0.9223,0.9693,0.6510,0.8183,0.6510,0.8183,0.8389,0.8725,0.9153,0.9776,0.9966,0.9997,0.0761,0.0200,0.0761,0.0200,1.0000,1.0000,0.1611,0.1275,1.0000,1.0000,0.0000,0.0000,0.9223,0.9693,1.0344,1.0000,0.0017,142.2014,200.0000,0.0437,0.0360,0.0791,0.0650,0.0017,0.3276,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3255,1.6445,0.0207,0.0469,1.2715,1.6289
mahnob_1042,dof__parh_ossm,DoF,0.9188,0.9674,0.8033,0.9608,0.8033,0.9608,0.6568,0.6507,0.8946,0.9844,0.9476,0.9994,0.0897,0.0131,0.0897,0.0131,1.0000,1.0000,0.3432,0.3493,1.0000,1.0000,0.0000,0.0000,0.9188,0.9674,1.0369,1.0000,0.0294,130.1209,200.0000,0.4430,0.0349,0.1054,0.0870,0.0000,0.0000,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.4017,2.3729,0.0204,0.0203,1.5676,2.9250
mahnob_1042,dof_disp_bridge__parh_ossm,DoF_bridge,0.9247,0.9648,0.8348,0.9962,0.8348,0.9962,0.5972,0.6126,0.9778,0.9924,0.9979,0.9993,0.0191,0.0068,0.0191,0.0068,1.0000,1.0000,0.4028,0.3874,1.0000,1.0000,0.0000,0.0000,0.9247,0.9648,1.0309,1.0000,0.0009,134.8648,200.0000,0.0402,0.0365,0.1344,0.1147,0.0000,0.0000,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.4174,2.6111,0.0058,0.0043,0.4745,0.8035
mahnob_1042,profile1d_linear__parh_ossm,P1D_lin,0.9205,0.9685,0.7092,0.8082,0.7092,0.8082,0.7433,0.8108,0.8079,0.9841,0.9483,0.9994,0.1697,0.0135,0.1697,0.0135,1.0000,1.0000,0.2567,0.1892,1.0000,1.0000,0.0000,0.0000,0.9205,0.9685,1.0359,1.0000,0.0231,127.0784,200.0000,2.1130,0.0283,0.0842,0.0630,0.0009,0.0000,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3546,2.0269,0.3439,0.0361,5.3783,3.4413
mahnob_1042,profile1d_quadratic__parh_ossm,P1D_quad,0.9172,0.9513,0.8689,0.9983,0.8689,0.9983,0.6425,0.6810,0.9060,0.9980,0.9092,0.9981,0.0733,0.0017,0.0733,0.0017,1.0000,1.0000,0.3575,0.3190,1.0000,1.0000,0.0000,0.0000,0.9172,0.9513,0.9975,1.0000,0.0732,154.6300,200.0000,5.0820,0.0309,0.1163,0.1235,0.0000,0.0000,0.8681,0.9737,0.0328,1.0517,1.0518,0.0000,0.0000,1.4345,2.4301,0.0000,0.0000,0.0000,3.2492
mahnob_1042,profile1d_cubic__parh_ossm,P1D_cub,0.9173,0.9513,0.8879,0.9990,0.8879,0.9990,0.6319,0.6687,0.9054,0.9976,0.9087,0.9977,0.0737,0.0020,0.0737,0.0020,1.0000,1.0000,0.3681,0.3313,1.0000,1.0000,0.0000,0.0000,0.9173,0.9513,0.9972,1.0000,0.0739,154.9181,200.0000,5.0765,0.0309,0.1217,0.1290,0.0000,0.0000,0.8679,0.9931,0.0328,1.0513,1.0539,0.0000,0.0000,1.4439,2.4725,0.0000,0.0000,0.0000,3.2499
mahnob_1042,profile1d_consensus__parh_ossm,P1D_cons,0.9152,0.9570,0.8214,0.9845,0.8214,0.9845,0.6857,0.7421,0.9133,0.9993,0.9150,0.9994,0.0667,0.0005,0.0667,0.0005,1.0000,1.0000,0.3143,0.2579,1.0000,1.0000,0.0000,0.0000,0.9152,0.9570,1.0124,1.0000,0.0662,139.3179,200.0000,4.1333,0.0366,0.0969,0.1000,0.0000,0.0000,0.9406,0.4613,0.0000,1.0538,1.1015,0.0000,0.0000,1.4107,2.2572,0.0000,0.0000,0.0000,3.1533
mahnob_1044,of_farneback__parh_ossm,OF,0.9148,0.9710,0.7355,0.9726,0.7355,0.9726,0.7461,0.7511,0.8497,0.9441,0.8912,0.9773,0.1143,0.0495,0.1143,0.0495,1.0000,1.0000,0.2539,0.2489,1.0000,1.0000,0.0000,0.0000,0.9148,0.9710,1.0364,1.0000,0.0823,103.4705,77.6648,0.7978,0.3208,0.1068,0.0958,0.0014,0.3973,,,0.0000,1.0000,1.0000,1.0000,1.0000,1.3677,2.0156,0.0347,0.0475,1.4819,1.7240
