dataset,observation_class,case_rank,panel_group,variant,variant_display_order,video,method,data_file,output_type,causal_or_smoothed,metric_name,metric_value,waveform_CCC,waveform_MAE,waveform_DTW,latency_ms,rate_MAE,rate_RMSE,rate_PearsonR,rate_source,dataset_display_order,row_display_order
COHFACE,OF,top,COHFACE_OF_top,Base,0,cohface_20_1,of_farneback,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_20_1.pkl,signal_hat,smoothed,waveform_CCC,0.9323,0.9284,0.3102,0.3067,843.7500,0.0900,0.1100,1.0000,signal_spectral,0,0
COHFACE,OF,top,COHFACE_OF_top,OSSM-KF,1,cohface_20_1,of_farneback__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_20_1.pkl,signal_hat,smoothed,waveform_CCC,0.9323,0.9500,0.2574,0.2531,843.7500,0.1000,0.1300,0.9600,track_hz,0,0
COHFACE,OF,top,COHFACE_OF_top,PARH,2,cohface_20_1,of_farneback__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_20_1.pkl,z_full,smoothed,waveform_CCC,0.9323,0.9323,0.3018,0.2981,843.7500,0.0700,0.0900,0.9700,track_hz,0,0
COHFACE,OF,median,COHFACE_OF_median,Base,0,cohface_27_2,of_farneback,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_27_2.pkl,signal_hat,smoothed,waveform_CCC,0.7859,0.6605,0.5435,0.4145,656.2500,0.2800,0.3000,1.0000,signal_spectral,0,1
COHFACE,OF,median,COHFACE_OF_median,OSSM-KF,1,cohface_27_2,of_farneback__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_27_2.pkl,signal_hat,smoothed,waveform_CCC,0.7859,0.7982,0.4325,0.3301,687.5000,1.0100,1.3700,0.6800,track_hz,0,1
COHFACE,OF,median,COHFACE_OF_median,PARH,2,cohface_27_2,of_farneback__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_27_2.pkl,z_full,smoothed,waveform_CCC,0.7859,0.7859,0.4989,0.4014,656.2500,0.8800,1.2100,0.6700,track_hz,0,1
COHFACE,OF,bottom,COHFACE_OF_bottom,Base,0,cohface_32_1,of_farneback,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_32_1.pkl,signal_hat,smoothed,waveform_CCC,0.3424,0.2416,0.9608,0.6508,2218.7500,9.2400,9.4700,0.0600,signal_spectral,0,2
COHFACE,OF,bottom,COHFACE_OF_bottom,OSSM-KF,1,cohface_32_1,of_farneback__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_32_1.pkl,signal_hat,smoothed,waveform_CCC,0.3424,0.2647,0.9629,0.5875,2218.7500,2.7200,2.9000,0.1600,track_hz,0,2
COHFACE,OF,bottom,COHFACE_OF_bottom,PARH,2,cohface_32_1,of_farneback__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_32_1.pkl,z_full,smoothed,waveform_CCC,0.3424,0.3424,1.0518,0.5269,22187.5000,3.0800,3.2500,0.1200,track_hz,0,2
MAHNOB,OF_bridge,top,MAHNOB_OF_bridge_top,Base,0,mahnob_2250,of_disp_bridge,results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_2250.pkl,signal_hat,smoothed,waveform_CCC,0.8358,0.4509,1.4185,1.1176,-106621.0938,3.7400,4.3100,0.1500,signal_spectral,1,0
MAHNOB,OF_bridge,top,MAHNOB_OF_bridge_top,OSSM-KF,1,mahnob_2250,of_disp_bridge__ossm_kf,results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_2250.pkl,signal_hat,smoothed,waveform_CCC,0.8358,0.8456,1.2305,0.8014,-123777.3438,1.8000,2.2800,-0.2500,track_hz,1,0
MAHNOB,OF_bridge,top,MAHNOB_OF_bridge_top,PARH,2,mahnob_2250,of_disp_bridge__parh_ossm,results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_2250.pkl,z_full,smoothed,waveform_CCC,0.8358,0.8358,1.2645,0.8376,-123777.3438,1.9200,2.3900,-0.2800,track_hz,1,0
MAHNOB,OF_bridge,median,MAHNOB_OF_bridge_median,Base,0,mahnob_1702,of_disp_bridge,results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_1702.pkl,signal_hat,smoothed,waveform_CCC,0.4247,0.6153,0.6864,0.4338,-45789.0625,9.8200,10.7300,-0.0500,signal_spectral,1,1
