dataset,observation_class,case_rank,panel_group,variant,variant_display_order,video,method,data_file,output_type,causal_or_smoothed,metric_name,metric_value,waveform_CCC,waveform_MAE,waveform_DTW,latency_ms,rate_MAE,rate_RMSE,rate_PearsonR,rate_source,dataset_display_order,row_display_order
COHFACE,DoF_bridge,top,COHFACE_DoF_bridge_top,Base,0,cohface_20_2,dof_disp_bridge,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_20_2.pkl,signal_hat,smoothed,waveform_CCC,0.9533,0.9440,0.2593,0.2564,-1156.2500,0.1200,0.1300,0.9600,signal_spectral,0,0
COHFACE,DoF_bridge,top,COHFACE_DoF_bridge_top,OSSM-KF,1,cohface_20_2,dof_disp_bridge__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_20_2.pkl,signal_hat,smoothed,waveform_CCC,0.9533,0.9552,0.2188,0.2106,-1187.5000,0.3000,0.6100,0.6700,track_hz,0,0
COHFACE,DoF_bridge,top,COHFACE_DoF_bridge_top,PARH,2,cohface_20_2,dof_disp_bridge__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_20_2.pkl,z_full,smoothed,waveform_CCC,0.9533,0.9533,0.2262,0.2221,-1156.2500,0.2700,0.5500,0.7500,track_hz,0,0
COHFACE,DoF_bridge,median,COHFACE_DoF_bridge_median,Base,0,cohface_12_3,dof_disp_bridge,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_12_3.pkl,signal_hat,smoothed,waveform_CCC,0.6583,0.3535,0.8472,0.6162,-2437.5000,1.7500,2.8800,0.2700,signal_spectral,0,1
COHFACE,DoF_bridge,median,COHFACE_DoF_bridge_median,OSSM-KF,1,cohface_12_3,dof_disp_bridge__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_12_3.pkl,signal_hat,smoothed,waveform_CCC,0.6583,0.6743,0.6503,0.3786,-1843.7500,1.7200,2.0200,-0.4800,track_hz,0,1
COHFACE,DoF_bridge,median,COHFACE_DoF_bridge_median,PARH,2,cohface_12_3,dof_disp_bridge__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_12_3.pkl,z_full,smoothed,waveform_CCC,0.6583,0.6583,0.6706,0.3899,-1812.5000,1.6200,1.9000,-0.2400,track_hz,0,1
COHFACE,DoF_bridge,bottom,COHFACE_DoF_bridge_bottom,Base,0,cohface_25_1,dof_disp_bridge,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_25_1.pkl,signal_hat,smoothed,waveform_CCC,0.2114,0.2093,1.0295,0.5745,-1531.2500,10.0700,10.0800,0.2100,signal_spectral,0,2
COHFACE,DoF_bridge,bottom,COHFACE_DoF_bridge_bottom,OSSM-KF,1,cohface_25_1,dof_disp_bridge__ossm_kf,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_25_1.pkl,signal_hat,smoothed,waveform_CCC,0.2114,0.2030,1.0384,0.5850,-1468.7500,9.9500,9.9600,-0.0600,track_hz,0,2
COHFACE,DoF_bridge,bottom,COHFACE_DoF_bridge_bottom,PARH,2,cohface_25_1,dof_disp_bridge__parh_ossm,results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/cohface_25_1.pkl,z_full,smoothed,waveform_CCC,0.2114,0.2114,1.0340,0.5746,-1468.7500,10.0300,10.0400,-0.0700,track_hz,0,2
MAHNOB,DoF,top,MAHNOB_DoF_top,Base,0,mahnob_3522,DoF,results/20260409_mahnob_prod_ofbridge_dofbridge_p1dcons_e2e/mahnob_parh_ossm_prod_ofbridge_dofbridge_p1dcons/data/mahnob_3522.pkl,signal_hat,smoothed,waveform_CCC,0.8169,0.7630,0.5206,0.4833,-30289.0625,4.0200,4.6700,0.0500,signal_spectral,1,0
