dataset,observation_class,case_rank,panel_group,variant,variant_display_order,dataset_display_order,row_display_order,video,method,data_file,output_type,causal_or_smoothed,metric_name,metric_value,waveform_CCC,waveform_MAE,waveform_DTW,latency_ms,rate_MAE,rate_RMSE,rate_PearsonR,rate_source
COHFACE,OF,median,COHFACE_OF_median,Base,0,0,0,cohface_27_2,of_farneback,data/cohface_27_2.pkl,signal_hat,smoothed,waveform_CCC,0.7859,0.6605,0.5435,0.4145,656.2500,0.2800,0.3000,1.0000,signal_spectral
COHFACE,OF,median,COHFACE_OF_median,OSSM-KF,1,0,0,cohface_27_2,of_farneback__ossm_kf,data/cohface_27_2.pkl,signal_hat,smoothed,waveform_CCC,0.7859,0.7982,0.4325,0.3301,687.5000,1.0100,1.3700,0.6800,track_hz
COHFACE,OF,median,COHFACE_OF_median,PARH,2,0,0,cohface_27_2,of_farneback__parh_ossm,data/cohface_27_2.pkl,z_full,smoothed,waveform_CCC,0.7859,0.7859,0.4989,0.4014,656.2500,0.8800,1.2100,0.6700,track_hz
COHFACE,OF_bridge,median,COHFACE_OF_bridge_median,Base,0,0,1,cohface_12_3,of_disp_bridge,data/cohface_12_3.pkl,signal_hat,smoothed,waveform_CCC,0.7207,0.7075,0.6414,0.4037,3125.0000,0.5200,1.1200,0.8100,signal_spectral
COHFACE,OF_bridge,median,COHFACE_OF_bridge_median,OSSM-KF,1,0,1,cohface_12_3,of_disp_bridge__ossm_kf,data/cohface_12_3.pkl,signal_hat,smoothed,waveform_CCC,0.7207,0.7307,0.6112,0.3857,3062.5000,0.1500,0.2000,0.9800,track_hz
COHFACE,OF_bridge,median,COHFACE_OF_bridge_median,PARH,2,0,1,cohface_12_3,of_disp_bridge__parh_ossm,data/cohface_12_3.pkl,z_full,smoothed,waveform_CCC,0.7207,0.7207,0.6242,0.3863,3062.5000,0.3700,0.4000,0.9700,track_hz
COHFACE,DoF,median,COHFACE_DoF_median,Base,0,0,2,cohface_31_0,DoF,data/cohface_31_0.pkl,signal_hat,smoothed,waveform_CCC,0.5826,0.4685,0.8323,0.5388,-20062.5000,1.3600,2.8900,0.7700,signal_spectral
COHFACE,DoF,median,COHFACE_DoF_median,OSSM-KF,1,0,2,cohface_31_0,dof__ossm_kf,data/cohface_31_0.pkl,signal_hat,smoothed,waveform_CCC,0.5826,0.5906,0.7834,0.4858,-20000.0000,3.6700,3.7800,-0.2700,track_hz
COHFACE,DoF,median,COHFACE_DoF_median,PARH,2,0,2,cohface_31_0,dof__parh_ossm,data/cohface_31_0.pkl,z_full,smoothed,waveform_CCC,0.5826,0.5826,0.7907,0.4973,-20000.0000,0.5500,0.8200,0.4900,track_hz
COHFACE,DoF_bridge,median,COHFACE_DoF_bridge_median,Base,0,0,3,cohface_12_3,dof_disp_bridge,data/cohface_12_3.pkl,signal_hat,smoothed,waveform_CCC,0.6583,0.3535,0.8472,0.6162,-2437.5000,1.7500,2.8800,0.2700,signal_spectral
COHFACE,DoF_bridge,median,COHFACE_DoF_bridge_median,OSSM-KF,1,0,3,cohface_12_3,dof_disp_bridge__ossm_kf,data/cohface_12_3.pkl,signal_hat,smoothed,waveform_CCC,0.6583,0.6743,0.6503,0.3786,-1843.7500,1.7200,2.0200,-0.4800,track_hz
COHFACE,DoF_bridge,median,COHFACE_DoF_bridge_median,PARH,2,0,3,cohface_12_3,dof_disp_bridge__parh_ossm,data/cohface_12_3.pkl,z_full,smoothed,waveform_CCC,0.6583,0.6583,0.6706,0.3899,-1812.5000,1.6200,1.9000,-0.2400,track_hz
COHFACE,P1D_lin,median,COHFACE_P1D_lin_median,Base,0,0,4,cohface_39_0,profile1D linear,data/cohface_39_0.pkl,signal_hat,smoothed,waveform_CCC,0.6992,0.5573,0.6840,0.5827,-4593.7500,0.1500,0.2000,0.8300,signal_spectral
COHFACE,P1D_lin,median,COHFACE_P1D_lin_median,OSSM-KF,1,0,4,cohface_39_0,profile1d_linear__ossm_kf,data/cohface_39_0.pkl,signal_hat,smoothed,waveform_CCC,0.6992,0.6714,0.6134,0.4894,-4593.7500,0.1900,0.3100,0.5500,track_hz
COHFACE,P1D_lin,median,COHFACE_P1D_lin_median,PARH,2,0,4,cohface_39_0,profile1d_linear__parh_ossm,data/cohface_39_0.pkl,z_full,smoothed,waveform_CCC,0.6992,0.6992,0.5918,0.4475,-4562.5000,0.1800,0.3600,0.4400,track_hz
COHFACE,P1D_quad,median,COHFACE_P1D_quad_median,Base,0,0,5,cohface_14_2,profile1D quadratic,data/cohface_14_2.pkl,signal_hat,smoothed,waveform_CCC,0.8464,0.8006,0.5112,0.4143,906.2500,0.1600,0.2300,0.9700,signal_spectral
