dataset,observation_class,case_rank,panel_group,variant,variant_display_order,dataset_display_order,row_display_order,video,method,data_file,output_type,causal_or_smoothed,metric_name,metric_value,waveform_CCC,waveform_MAE,waveform_DTW,latency_ms,rate_MAE,rate_RMSE,rate_PearsonR,rate_source
MAHNOB-HCI,OF,median,MAHNOB-HCI_OF_median,Base,0,0,0,mahnob_1312,of_farneback,data/mahnob_1312.pkl,signal_hat,smoothed,waveform_CCC,0.3216,0.4054,1.1786,0.8712,78792.9688,6.0500,7.1500,-0.0700,signal_spectral
MAHNOB-HCI,OF,median,MAHNOB-HCI_OF_median,OSSM-KF,1,0,0,mahnob_1312,of_farneback__ossm_kf,data/mahnob_1312.pkl,signal_hat,smoothed,waveform_CCC,0.3216,0.4774,1.1105,0.8024,78769.5312,2.4400,2.9300,0.1100,track_hz
MAHNOB-HCI,OF,median,MAHNOB-HCI_OF_median,PARH,2,0,0,mahnob_1312,of_farneback__parh_ossm,data/mahnob_1312.pkl,z_full,smoothed,waveform_CCC,0.3216,0.3216,1.0694,0.7522,46914.0625,2.3400,3.0300,0.5500,track_hz
MAHNOB-HCI,OF_bridge,median,MAHNOB-HCI_OF_bridge_median,Base,0,0,1,mahnob_1702,of_disp_bridge,data/mahnob_1702.pkl,signal_hat,smoothed,waveform_CCC,0.4247,0.6153,0.6864,0.4338,-45789.0625,9.8200,10.7300,-0.0500,signal_spectral
MAHNOB-HCI,OF_bridge,median,MAHNOB-HCI_OF_bridge_median,OSSM-KF,1,0,1,mahnob_1702,of_disp_bridge__ossm_kf,data/mahnob_1702.pkl,signal_hat,smoothed,waveform_CCC,0.4247,0.4509,0.8482,0.5306,-45640.6250,7.2000,8.0300,0.0200,track_hz
MAHNOB-HCI,OF_bridge,median,MAHNOB-HCI_OF_bridge_median,PARH,2,0,1,mahnob_1702,of_disp_bridge__parh_ossm,data/mahnob_1702.pkl,z_full,smoothed,waveform_CCC,0.4247,0.4247,0.8649,0.5302,-45476.5625,7.6600,8.2500,0.5100,track_hz
MAHNOB-HCI,DoF,median,MAHNOB-HCI_DoF_median,Base,0,0,2,mahnob_2766,DoF,data/mahnob_2766.pkl,signal_hat,smoothed,waveform_CCC,0.4251,0.4412,0.8237,0.5665,-16468.7500,5.4600,6.4700,0.4700,signal_spectral
MAHNOB-HCI,DoF,median,MAHNOB-HCI_DoF_median,OSSM-KF,1,0,2,mahnob_2766,dof__ossm_kf,data/mahnob_2766.pkl,signal_hat,smoothed,waveform_CCC,0.4251,0.4234,0.8606,0.5732,-18765.6250,4.0600,4.1700,0.5100,track_hz
MAHNOB-HCI,DoF,median,MAHNOB-HCI_DoF_median,PARH,2,0,2,mahnob_2766,dof__parh_ossm,data/mahnob_2766.pkl,z_full,smoothed,waveform_CCC,0.4251,0.4251,0.8592,0.5658,-18761.7188,4.8800,5.0500,0.5100,track_hz
MAHNOB-HCI,DoF_bridge,median,MAHNOB-HCI_DoF_bridge_median,Base,0,0,3,mahnob_3544,dof_disp_bridge,data/mahnob_3544.pkl,signal_hat,smoothed,waveform_CCC,0.3489,0.5904,2.2377,1.1291,-149648.4375,5.8100,6.5100,-0.4800,signal_spectral
MAHNOB-HCI,DoF_bridge,median,MAHNOB-HCI_DoF_bridge_median,OSSM-KF,1,0,3,mahnob_3544,dof_disp_bridge__ossm_kf,data/mahnob_3544.pkl,signal_hat,smoothed,waveform_CCC,0.3489,0.3485,1.1703,0.8013,-106195.3125,1.6500,2.5500,-0.2400,track_hz
MAHNOB-HCI,DoF_bridge,median,MAHNOB-HCI_DoF_bridge_median,PARH,2,0,3,mahnob_3544,dof_disp_bridge__parh_ossm,data/mahnob_3544.pkl,z_full,smoothed,waveform_CCC,0.3489,0.3489,1.1697,0.8027,-106199.2188,1.8400,2.3100,-0.2400,track_hz
MAHNOB-HCI,P1D_lin,median,MAHNOB-HCI_P1D_lin_median,Base,0,0,4,mahnob_940,profile1D linear,data/mahnob_940.pkl,signal_hat,smoothed,waveform_CCC,0.3356,0.5163,2.5578,1.8322,-92750.0000,3.3000,3.7000,-0.1700,signal_spectral
MAHNOB-HCI,P1D_lin,median,MAHNOB-HCI_P1D_lin_median,OSSM-KF,1,0,4,mahnob_940,profile1d_linear__ossm_kf,data/mahnob_940.pkl,signal_hat,smoothed,waveform_CCC,0.3356,0.3316,1.2590,0.9491,-65792.9688,4.8900,4.9100,0.9600,track_hz
MAHNOB-HCI,P1D_lin,median,MAHNOB-HCI_P1D_lin_median,PARH,2,0,4,mahnob_940,profile1d_linear__parh_ossm,data/mahnob_940.pkl,z_full,smoothed,waveform_CCC,0.3356,0.3356,1.2532,0.9434,-65792.9688,3.8400,4.3500,-0.3400,track_hz
