method,trial_key,path,filename,suffix,mtime,reason
dof__robust_ossm_ekf,10_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_0.npz,10_0.npz,0,1773719075.7666528,pre_epoch_stale
dof__robust_ossm_ekf,10_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_1.npz,10_1.npz,0,1773719086.8086526,pre_epoch_stale
dof__robust_ossm_ekf,10_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_2.npz,10_2.npz,0,1773719097.8196528,pre_epoch_stale
dof__robust_ossm_ekf,10_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/10_3.npz,10_3.npz,0,1773719108.7916534,pre_epoch_stale
dof__robust_ossm_ekf,11_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_0.npz,11_0.npz,0,1773719119.8746545,pre_epoch_stale
dof__robust_ossm_ekf,11_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_1.npz,11_1.npz,0,1773719131.333656,pre_epoch_stale
dof__robust_ossm_ekf,11_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_2.npz,11_2.npz,0,1773719142.6326582,pre_epoch_stale
dof__robust_ossm_ekf,11_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/11_3.npz,11_3.npz,0,1773719153.694661,pre_epoch_stale
dof__robust_ossm_ekf,12_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_0.npz,12_0.npz,0,1773719166.4476645,pre_epoch_stale
dof__robust_ossm_ekf,12_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_1.npz,12_1.npz,0,1773719179.0436685,pre_epoch_stale
dof__robust_ossm_ekf,12_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_2.npz,12_2.npz,0,1773719190.3316727,pre_epoch_stale
dof__robust_ossm_ekf,12_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/12_3.npz,12_3.npz,0,1773719201.754677,pre_epoch_stale
dof__robust_ossm_ekf,13_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_0.npz,13_0.npz,0,1773719212.862682,pre_epoch_stale
dof__robust_ossm_ekf,13_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_1.npz,13_1.npz,0,1773719223.8316872,pre_epoch_stale
dof__robust_ossm_ekf,13_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_2.npz,13_2.npz,0,1773719234.9876928,pre_epoch_stale
dof__robust_ossm_ekf,13_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/13_3.npz,13_3.npz,0,1773719246.0496988,pre_epoch_stale
dof__robust_ossm_ekf,14_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_0.npz,14_0.npz,0,1773719257.0967052,pre_epoch_stale
dof__robust_ossm_ekf,14_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_1.npz,14_1.npz,0,1773719268.252712,pre_epoch_stale
dof__robust_ossm_ekf,14_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_2.npz,14_2.npz,0,1773719279.4537194,pre_epoch_stale
dof__robust_ossm_ekf,14_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/14_3.npz,14_3.npz,0,1773719290.596727,pre_epoch_stale
dof__robust_ossm_ekf,15_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_0.npz,15_0.npz,0,1773719301.998735,pre_epoch_stale
dof__robust_ossm_ekf,15_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_1.npz,15_1.npz,0,1773719313.2867432,pre_epoch_stale
dof__robust_ossm_ekf,15_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_2.npz,15_2.npz,0,1773719324.2097516,pre_epoch_stale
dof__robust_ossm_ekf,15_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/15_3.npz,15_3.npz,0,1773719335.1857603,pre_epoch_stale
dof__robust_ossm_ekf,16_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_0.npz,16_0.npz,0,1773719346.2507696,pre_epoch_stale
dof__robust_ossm_ekf,16_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_1.npz,16_1.npz,0,1773719357.348779,pre_epoch_stale
dof__robust_ossm_ekf,16_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_2.npz,16_2.npz,0,1773719368.4507887,pre_epoch_stale
dof__robust_ossm_ekf,16_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/aux/dof__robust_ossm_ekf/frame_logs/16_3.npz,16_3.npz,0,1773719379.5047987,pre_epoch_stale
