method,n_trials,calibration_applicable,applicability_reason,strict_pass_rate,relaxed_pass_rate,overstrict_rate,true_fail_rate,nis_mean_median,nis_inband_median
of_farneback,160,False,no_finite_nis_metrics,,,,,,
of_farneback__kfstd,160,False,no_finite_nis_metrics,,,,,,
of_farneback__robust_ossm_ekf,160,True,,0.025,0.1375,0.1125,0.8625,0.29065327870441904,0.9359837539655277
DoF,160,False,no_finite_nis_metrics,,,,,,
dof__kfstd,160,False,no_finite_nis_metrics,,,,,,
dof__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.15098141276705782,0.9360180105036299
profile1D linear,160,False,no_finite_nis_metrics,,,,,,
profile1d_linear__kfstd,160,False,no_finite_nis_metrics,,,,,,
profile1d_linear__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.11429291330758415,0.9027397304536922
profile1D quadratic,160,False,no_finite_nis_metrics,,,,,,
profile1d_quadratic__kfstd,160,False,no_finite_nis_metrics,,,,,,
profile1d_quadratic__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.07626478971376988,0.9070770746616799
profile1D cubic,160,False,no_finite_nis_metrics,,,,,,
profile1d_cubic__kfstd,160,False,no_finite_nis_metrics,,,,,,
profile1d_cubic__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.07916075232474168,0.908755912961211
