method,MAE_median,MAE_std,RMSE_median,RMSE_std,MAPE_median,MAPE_std,PearsonR_median,PearsonR_std,SNR_Spec_median,SNR_Spec_std,Bias_median,Bias_std,LoA_Width_median,LoA_Width_std,KL_Div_median,KL_Div_std,Entropy_Err_median,Entropy_Err_std,Method
of_farneback,0.29,1.711597693015461,0.39,2.042880550447389,2.38,24.76419060746,0.89,0.47721221932063684,5.5417317136956665,4.071843960254401,0.14379278,1.698964280947585,1.190249263048172,5.056733329739731,0.19543526,0.27009455466385107,0.39567876,0.3420105486548843,of_farneback
of_farneback__kfstd,0.28,1.6559170526863227,0.33999999999999997,1.9413890254841866,2.255,26.36720542548424,0.92,0.48898442088915606,7.187345153950388,4.0860033499441135,0.14687502,1.7000244816491457,1.1004082465171814,4.424587725223033,0.11943853,0.2444944821539193,0.24216843,0.29793087864422313,of_farneback__kfstd
of_farneback__robust_ossm_ekf,0.36,2.332833404721047,0.46,2.654915164049858,2.6950000000000003,35.7785373191872,0.87,0.5456075553821522,6.556030423441243,4.023815996535042,0.19531249,2.384450245446523,1.398171662092209,5.526533861090706,0.19202694,0.32818897647412837,0.3073728,0.31369223546361324,of_farneback__robust_ossm_ekf
DoF,2.4,3.224888252537163,4.015000000000001,3.4100471141546875,20.21,32.838050598877416,0.37,0.5283185591669046,2.222717643706908,2.388795056623685,0.19213098,4.328928074932299,10.83357599258423,7.891084055724934,0.4026947,0.48504401896537874,0.6896727,0.308871414650193,DoF
dof__kfstd,1.49,3.1416973383635325,2.19,3.205137297268188,10.835,37.49920824321394,0.52,0.5661417135081137,6.158088769441624,3.412792852062481,0.14531271,3.9801727695436395,4.380968027114869,4.443069363917115,0.24521294,0.8158989287899981,0.27978897,0.25938449635999744,dof__kfstd
dof__robust_ossm_ekf,2.67,3.34401445700811,3.365,3.4671922325134,18.950000000000003,40.96883239026203,0.39,0.5676240361484899,4.593279535902214,2.8805428464835634,0.4540797,4.378429403876872,7.347761163711548,6.337905417929518,0.3411092,0.791806126551268,0.43080783,0.31971728683255213,dof__robust_ossm_ekf
profile1D linear,0.335,2.0636179979231137,0.435,2.473631601099075,2.99,23.85873828942689,0.84,0.4902708849146738,6.679839740166778,4.852460931141773,0.0846117,2.2816105194965095,1.524864515066147,6.295404632019755,0.18019173,0.377010964544375,0.37495303,0.3597453623142829,profile1D linear
profile1d_linear__kfstd,0.28500000000000003,2.0948450872237325,0.365,2.2559814797792375,2.55,26.73080870084369,0.86,0.531536100883536,11.13211971126132,5.262480756837551,0.09242418,2.3574973925501004,1.2432149612903594,3.9807144409912283,0.110688925,0.4953441053955996,0.20238805,0.1968043574146476,profile1d_linear__kfstd
profile1d_linear__robust_ossm_ekf,0.33,2.4425631248159574,0.41,2.736456414189892,2.835,34.9118872888924,0.82,0.5752467686455911,7.252064869835216,4.697225813941918,0.13815537,2.615202572984171,1.4683622872829436,5.774520072824369,0.1507085,0.41130098406051196,0.31033492,0.3078646489580216,profile1d_linear__robust_ossm_ekf
profile1D quadratic,0.195,1.8710855827197315,0.27,2.3303103275066768,1.665,26.173415157188906,0.95,0.5375415366187793,7.720530143628091,4.4278341415227604,0.10161285,1.8591531328597564,0.7682760244607925,6.280006828249896,0.14354466,0.20498983779458552,0.3052423,0.2727184371513377,profile1D quadratic
profile1d_quadratic__kfstd,0.215,1.2849716488564173,0.3,1.5532172926971073,1.7850000000000001,17.2225605331154,0.93,0.5250586722894782,11.77572022293549,4.834779644355005,0.1109374,1.3596747597382617,0.8279567420482634,3.818790309367527,0.11454503,0.2338635557031294,0.2063396,0.15334031859345543,profile1d_quadratic__kfstd
profile1d_quadratic__robust_ossm_ekf,0.255,2.1072835617054393,0.355,2.4337327879245225,2.13,29.528603833159657,0.91,0.5383376373896482,8.331520756963743,4.270601520512588,0.10635073,2.1954393636971354,1.1285905504226685,5.436367381719642,0.099696696,0.29316535363837737,0.20543885,0.2718505096257397,profile1d_quadratic__robust_ossm_ekf
profile1D cubic,0.22,1.8318037805422291,0.275,2.2459671615066057,1.76,23.954045327975102,0.94,0.5192800126617969,7.570473732798482,4.41361055127315,0.10473785,1.784354516825649,0.8052785360813141,6.109814740846207,0.14590567,0.20381063977822594,0.31006002,0.27522634602709034,profile1D cubic
profile1d_cubic__kfstd,0.22,1.2770534025958982,0.3,1.5516189759541097,1.855,16.991362640671067,0.93,0.5280231800066294,11.71016457699304,4.8413791979536756,0.10767041,1.3596202727701425,0.8562620919942855,3.8519201593845565,0.1134962,0.23310849216284443,0.20826149,0.1544312218384434,profile1d_cubic__kfstd
profile1d_cubic__robust_ossm_ekf,0.34,2.313537559179848,0.42,2.6620770724422385,2.535,33.662274032899774,0.87,0.560551805426007,8.387206850526251,4.132625045478277,0.150049,2.4009384974447365,1.3304434180259703,5.926529618596389,0.13223378,0.373947879708178,0.2117691,0.27554714081364834,profile1d_cubic__robust_ossm_ekf
