video,method,CCC,MAE,RMSE,SNR_Time,Latency,DTW_Dist,IE_Err,PPI_MAE,gt_bpm_avg,est_bpm_avg,data_file
cohface_14_1,of_farneback,0.59,0.73,0.92,0.8323649025283636,812.5,0.5328613830329378,0.08107292626156115,1.030208333333333,,,data/cohface_14_1.pkl
cohface_14_1,of_farneback__kfstd,0.69,0.65,0.8,2.0421742569932944,812.5,0.4703158049327346,0.23624655033617403,0.6953869047619055,,,data/cohface_14_1.pkl
cohface_14_1,of_farneback__robust_ossm_ekf,0.67,0.66,0.81,1.8484928028703602,812.5,0.4858211927559541,0.16486222004564843,0.9706250000000005,,,data/cohface_14_1.pkl
cohface_14_1,DoF,0.49,0.77,0.99,0.14158397310883294,-937.5,0.5360093360699933,0.24888150997471237,2.2156249999999997,,,data/cohface_14_1.pkl
cohface_14_1,dof__kfstd,0.62,0.71,0.88,1.171217165637461,1468.75,0.4378954399546218,0.2971226182579769,0.8739583333333334,,,data/cohface_14_1.pkl
cohface_14_1,dof__robust_ossm_ekf,0.53,0.76,0.96,0.4436456936811217,1281.25,0.4180010509488122,0.251031155361801,0.8806249999999993,,,data/cohface_14_1.pkl
cohface_14_1,profile1D linear,0.88,0.38,0.48,6.41251018272725,937.5,0.3025855963347387,0.13861692770397382,0.0010416666666666075,,,data/cohface_14_1.pkl
cohface_14_1,profile1d_linear__kfstd,0.95,0.24,0.3,10.460254058096305,1000.0,0.21207411172690127,0.21233999985360896,0.03645833333333304,,,data/cohface_14_1.pkl
cohface_14_1,profile1d_linear__robust_ossm_ekf,0.95,0.26,0.33,9.63534465299414,968.75,0.22523505722166093,0.1922495420843623,0.040625000000000355,,,data/cohface_14_1.pkl
cohface_14_1,profile1D quadratic,0.91,0.35,0.43,7.337165961638833,968.75,0.3157798839089493,0.15268533085582703,0.13165064102564195,,,data/cohface_14_1.pkl
cohface_14_1,profile1d_quadratic__kfstd,0.96,0.23,0.29,10.974393013226923,1031.25,0.2098764916609701,0.15042956662182005,0.015625,,,data/cohface_14_1.pkl
cohface_14_1,profile1d_quadratic__robust_ossm_ekf,0.95,0.24,0.33,9.834153046366804,1031.25,0.2156376166238982,0.11362950703976538,0.00729166666666714,,,data/cohface_14_1.pkl
