method,CCC_median,CCC_std,MAE_median,MAE_std,RMSE_median,RMSE_std,SNR_Time_median,SNR_Time_std,Latency_median,Latency_std,DTW_Dist_median,DTW_Dist_std,IE_Err_median,IE_Err_std,PPI_MAE_median,PPI_MAE_std,Method
of_farneback,0.71,0.18502438008655803,0.58,0.19716783029157364,0.735,0.27717061447473446,2.6850545459072883,2.9635341331885323,750.0,8300.489759726628,0.4519724722723263,0.1541551719154221,0.2164587217337206,1.0229963300652924,0.26732142857142827,1.717540245782069,of_farneback
of_farneback__kfstd,0.79,0.1449653504468867,0.51,0.1668954286956262,0.64,0.20496107162215746,3.85467107494254,2.672338041683802,531.25,2666.5893087622712,0.39704146540276003,0.09294290129610719,0.24741051879848114,0.3664722526382449,0.17615201866846597,1.2360332089539918,of_farneback__kfstd
of_farneback__robust_ossm_ekf,0.78,0.14611101147058006,0.51,0.16443536657262695,0.66,0.20173457716177837,3.6702608763817492,2.5871065975461245,531.25,2669.9924794368085,0.4051475443074046,0.09191252119409292,0.2470938544694975,0.3735963712577698,0.15478829284750328,1.273858957886202,of_farneback__robust_ossm_ekf
DoF,0.44,0.13108663837709128,0.79,0.1288046153319733,1.05,0.1482857495581169,-0.40193152420484496,1.1949286987765038,-718.75,14081.24037223057,0.5509140367404219,0.10087762501798188,0.2624087839841328,0.19838687271660121,1.5408037173202618,1.7316381841239548,DoF
dof__kfstd,0.62,0.1985069664351114,0.68,0.19770315361593385,0.88,0.24200157881911316,1.1727708005165953,2.647238812474045,-250.0,8587.721671989817,0.43182045014561193,0.08114085580179613,0.2140969993458598,0.17159559758321824,0.5351020456259425,1.4709409288618254,dof__kfstd
dof__robust_ossm_ekf,0.565,0.1957724480489896,0.725,0.1925688535687427,0.94,0.23213494198269283,0.615157442319303,2.4028928983544646,-468.75,11284.587705125223,0.4452371174053007,0.08778043354320522,0.18463041979028083,0.14631703312995123,0.6842293123543124,1.4088969073105344,dof__robust_ossm_ekf
profile1D linear,0.58,0.21645514590482542,0.655,0.27605337847469935,0.915,0.3611527447375231,0.7470588894523363,3.2913787607531844,750.0,11081.173278954151,0.5309937059751562,0.21843191737007492,0.14678233456228523,1.78663958702588,0.4110702614379087,2.464460983424199,profile1D linear
profile1d_linear__kfstd,0.84,0.19618996698265198,0.425,0.21623348084650001,0.56,0.26583057805003374,5.06144927469043,3.4593803293954335,609.375,4091.9329016609813,0.34541472771482545,0.11078783838063194,0.14754265746392042,0.18104398395310628,0.08393308080808026,1.0417445310733382,profile1d_linear__kfstd
profile1d_linear__robust_ossm_ekf,0.81,0.19249641628617106,0.47,0.21009117517590417,0.615,0.2604265671074014,4.2354380928421875,3.3413215439369637,640.625,4361.631074477999,0.3703035859672523,0.11565807911416202,0.16459353897966272,0.24196296587056462,0.19270833333333326,0.9783474529265334,profile1d_linear__robust_ossm_ekf
profile1D quadratic,0.81,0.15003635565711373,0.485,0.16006111254276495,0.62,0.20760000810399754,4.239057903793131,2.7657946023865407,765.625,4190.430293960944,0.36757015827874684,0.10118032453112163,0.18115854311711516,0.12975539784164264,0.22784382284382265,1.3072562608163116,profile1D quadratic
profile1d_quadratic__kfstd,0.89,0.12365679260958765,0.36,0.15515847042103834,0.47,0.19265829071475774,6.619366258163685,2.988256699050534,-921.875,1286.5652178896917,0.3125203796868613,0.08502681862817078,0.1575853122779901,0.1963211913745155,0.05059523809523836,0.9312118542810357,profile1d_quadratic__kfstd
profile1d_quadratic__robust_ossm_ekf,0.87,0.12577301857416742,0.385,0.15778717455113447,0.5,0.19370725334896474,6.028005446988853,2.92700522756028,-984.375,2094.1455286635646,0.33100366753555277,0.09078740976795928,0.16469822765295916,0.2625328345297335,0.046875,1.0222196212560273,profile1d_quadratic__robust_ossm_ekf
profile1D cubic,0.81,0.15198704843861457,0.49,0.16176692410950105,0.625,0.20847453391075896,4.153491385717776,2.7609603386173793,781.25,4194.951907932187,0.37076336684430833,0.10159426566781955,0.17545783557827938,0.1384303120509461,0.2221714154411767,1.3441463218221281,profile1D cubic
profile1d_cubic__kfstd,0.89,0.12752999400560316,0.36,0.1590764298524178,0.47,0.19696821567811745,6.566251996850733,3.012970363585698,-921.875,1481.7964067425994,0.31376298061456054,0.08592535069749573,0.1601285959109926,0.20080817267149276,0.05428061521811545,0.9684817563455489,profile1d_cubic__kfstd
profile1d_cubic__robust_ossm_ekf,0.88,0.1280311571503509,0.39,0.1592469380055734,0.5,0.19579185296006216,6.0109330270216415,2.9351514392048528,-968.75,2695.514338502728,0.3300119137706513,0.08958770292485285,0.16328185799053935,0.2725744825241827,0.05183582144979226,1.0314757503031173,profile1d_cubic__robust_ossm_ekf
