video,gt_bpm,oracle_family,sel_snr_abs,sel_snr_norm,sel_composite,mae_snr_abs,mae_snr_norm,mae_composite,mae_threshold_loocv,sel_threshold_loocv,mae_oracle
cohface_10_0,11.893749237060549,of_farneback__robust_ossm_ekf,profile1d_quadratic__robust_ossm_ekf,of_farneback__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.13,0.12,0.12,0.13,profile1d_quadratic__robust_ossm_ekf,0.12
cohface_10_1,13.21875,of_farneback__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,of_farneback__robust_ossm_ekf,1.31,1.31,0.73,1.31,profile1d_linear__robust_ossm_ekf,0.73
cohface_10_2,11.056249618530272,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,0.07,0.07,0.07,0.12,profile1d_quadratic__robust_ossm_ekf,0.07
cohface_10_3,14.193750381469728,profile1d_cubic__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.19,0.19,0.13,0.11,profile1d_quadratic__robust_ossm_ekf,0.1
cohface_11_0,12.896875381469728,of_farneback__robust_ossm_ekf,of_farneback__robust_ossm_ekf,of_farneback__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.09,0.09,0.09,0.09,of_farneback__robust_ossm_ekf,0.09
cohface_11_1,11.59999942779541,of_farneback__robust_ossm_ekf,profile1d_quadratic__robust_ossm_ekf,of_farneback__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.46,0.29,0.29,0.46,profile1d_quadratic__robust_ossm_ekf,0.29
cohface_11_2,14.225000381469728,of_farneback__robust_ossm_ekf,profile1d_cubic__robust_ossm_ekf,profile1d_cubic__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.12,0.12,0.1,0.12,profile1d_quadratic__robust_ossm_ekf,0.1
cohface_11_3,9.018750190734863,profile1d_quadratic__robust_ossm_ekf,profile1d_cubic__robust_ossm_ekf,of_farneback__robust_ossm_ekf,of_farneback__robust_ossm_ekf,2.28,2.47,2.47,1.93,profile1d_quadratic__robust_ossm_ekf,1.93
cohface_12_0,13.179590225219728,profile1d_quadratic__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.23,0.23,0.39,0.19,profile1d_quadratic__robust_ossm_ekf,0.19
cohface_12_1,15.046875,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.11,0.11,0.96,0.24,profile1d_quadratic__robust_ossm_ekf,0.11
cohface_12_2,9.579999923706056,profile1d_quadratic__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,of_farneback__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,0.25,0.23,0.25,0.16,profile1d_quadratic__robust_ossm_ekf,0.16
cohface_12_3,9.056249618530272,profile1d_cubic__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,0.4,0.4,0.4,0.4,profile1d_linear__robust_ossm_ekf,0.27
