strategy,freq_mae_median,freq_mae_mean,freq_rmse,n
soft_mean_norm (single-pt metric),0.1428,0.6873,1.4419,160
oracle (upper bound),0.15,0.4994,1.0717,160
hard_select_threshold (LOO-CV),0.17,0.6354,1.3753,160
hard_select_snr_norm,0.19,0.6451,1.4313,160
individual profile1D quadratic,0.195,0.996,2.1145,160
hard_select_snr_abs (biased),0.205,0.7127,1.574,160
individual profile1d_cubic__robust_ossm_ekf,0.21,0.8373,1.7392,160
individual profile1d_quadratic__robust_ossm_ekf,0.21,0.8065,1.6765,160
hard_select_composite,0.21,0.9054,1.9298,160
individual profile1d_quadratic__kfstd,0.215,0.7853,1.5025,160
individual profile1d_cubic__kfstd,0.22,0.8001,1.5036,160
individual profile1D cubic,0.22,0.9884,2.0764,160
individual profile1d_linear__robust_ossm_ekf,0.28,1.3116,2.4123,160
individual of_farneback__kfstd,0.28,0.9667,1.913,160
individual profile1d_linear__kfstd,0.285,1.2382,2.4278,160
individual of_farneback__robust_ossm_ekf,0.29,1.0204,2.0651,160
