method,method,MAE_median,MAE_std
of_farneback,of_farneback,0.29,1.711597693015461
of_farneback__kfstd,of_farneback__kfstd,0.28,1.6559170526863227
of_farneback__robust_ossm_ekf,of_farneback__robust_ossm_ekf,0.36,2.332833404721047
DoF,DoF,2.4,3.224888252537163
dof__kfstd,dof__kfstd,1.49,3.1416973383635325
dof__robust_ossm_ekf,dof__robust_ossm_ekf,2.67,3.34401445700811
profile1D linear,profile1D linear,0.335,2.0636179979231137
profile1d_linear__kfstd,profile1d_linear__kfstd,0.285,2.0948450872237325
profile1d_linear__robust_ossm_ekf,profile1d_linear__robust_ossm_ekf,0.33,2.4425631248159574
profile1D quadratic,profile1D quadratic,0.195,1.8710855827197317
profile1d_quadratic__kfstd,profile1d_quadratic__kfstd,0.215,1.2849716488564171
profile1d_quadratic__robust_ossm_ekf,profile1d_quadratic__robust_ossm_ekf,0.255,2.1072835617054397
profile1D cubic,profile1D cubic,0.22,1.8318037805422287
profile1d_cubic__kfstd,profile1d_cubic__kfstd,0.22,1.2770534025958982
profile1d_cubic__robust_ossm_ekf,profile1d_cubic__robust_ossm_ekf,0.34,2.313537559179848
