n_pairs,u_mean,u_min,u_max,p_better_time,p_better_freq,p_better_dual,d_time_mae,d_freq_mae,d_fail_total
80,0.23745737901787883,0.1067094424951414,0.29932543778644993,0.2625,0.425,0.1625,0.012000000000000005,0.04475,
80,0.33480864186083065,0.3010713819443296,0.3691684054057584,0.125,0.4625,0.0875,0.036,0.125,
80,0.39208976268197765,0.36917686736155214,0.41764423803614625,0.2375,0.4,0.175,0.037375,0.39375,
80,0.4384263778817334,0.418761617580686,0.45755252155445525,0.25,0.4375,0.125,0.025124999999999998,-0.099625,
80,0.4779299207792806,0.4579377095714161,0.4972902058146218,0.1125,0.4375,0.0625,0.03325000000000001,0.417375,
80,0.5170319034276089,0.4975253565724414,0.5380300670555761,0.2875,0.4625,0.125,0.009124999999999994,0.376,
80,0.5601012903887683,0.5381627031142304,0.585089792002488,0.1875,0.375,0.175,0.034625,0.10187500000000001,
80,0.6055136350083976,0.5854225372545042,0.6307283709265991,0.225,0.5125,0.15,0.028500000000000004,-0.01862500000000001,
80,0.656813796313323,0.6322220074647951,0.6886603769706139,0.1625,0.375,0.1,0.026625,0.16787499999999997,
80,0.7645954897037457,0.6903548146927809,0.8954280823797306,0.275,0.4125,0.2,0.009125,-0.045000000000000005,
