robust_method,trial_key,video,data_file,time_mae,time_rmse,time_ccc,time_dtw,time_snr,freq_mae,freq_rmse,freq_r,freq_snr,freq_kl,diag_fail_total,diag_nis_mean,diag_nis_pass,diag_nis_overstrict,diag_nis_truefail,base,variant,baseline_method,baseline_time_mae,baseline_freq_mae,baseline_fail_total,baseline_nis_truefail,q_vis_mean,q_drift_mean,q_out_mean,q_harm_mean,q_burst_rate,alpha_R_mean,alpha_Q_mean,g_t_mean,g_z_eff_mean,lambda_mean,instability_u,delta_time_mae,delta_freq_mae,delta_fail_total,delta_nis_truefail,better_time,better_freq,better_dual
of_farneback__robust_ossm_ekf,14_1,cohface_14_1,data/cohface_14_1.pkl,0.66,0.81,0.67,0.4858211927553217,1.8484928028687653,0.43,0.5,0.97,5.998001019859526,0.20008162,0.0251215559157212,1.0082604889663602,1.0,0.0,0.0,of_farneback,robust_ossm_ekf,of_farneback__kfstd,0.65,0.42,,,0.5188269902751399,0.3263316227901665,0.3403457138564822,0.4446141053043393,0.0097244732576985,2.320837788633193,1.6200300833013164,0.4507526793474519,0.2323617043629707,1.011445986242826,0.6773196432185795,0.010000000000000009,0.010000000000000009,,,0.0,0.0,0.0
dof__robust_ossm_ekf,14_1,cohface_14_1,data/cohface_14_1.pkl,0.76,0.96,0.53,0.4180010509482973,0.4436456936832662,3.54,5.29,-0.62,5.060131517229956,0.4383676,0.1110210696920583,0.1543643383122804,0.0,0.0,1.0,dof,robust_ossm_ekf,dof__kfstd,0.71,2.37,,,0.5188269902751399,0.3263316227901665,0.3122476591246886,0.380295872499486,0.0032414910858995,1.6166639054339138,1.6200300833013164,0.5435457207702411,0.2649791085281529,1.0735098971647528,0.5666827425343951,0.050000000000000044,1.17,,,0.0,0.0,0.0
profile1d_linear__robust_ossm_ekf,14_1,cohface_14_1,data/cohface_14_1.pkl,0.26,0.33,0.95,0.2252350572222287,9.635344652984628,0.08,0.11,1.0,14.579173297935784,0.019760482,0.0016207455429497,0.282566967875365,0.0,0.0,1.0,profile1d_linear,robust_ossm_ekf,profile1d_linear__kfstd,0.24,0.09,,,0.5188269902751399,0.3263316227901665,0.3064452103459323,0.4676415216966149,0.0072933549432739,1.5894241071852304,1.6200300833013164,0.6876725318585973,0.3058718413163583,1.0530577555482152,0.6244329801886758,0.020000000000000018,-0.009999999999999995,,,0.0,1.0,0.0
profile1d_quadratic__robust_ossm_ekf,14_1,cohface_14_1,data/cohface_14_1.pkl,0.24,0.33,0.95,0.2156376166246271,9.834153046343848,0.06,0.09,1.0,14.040159591529056,0.012944965,0.012965964343598,1.4531082870745515,0.0,0.0,1.0,profile1d_quadratic,robust_ossm_ekf,profile1d_quadratic__kfstd,0.23,0.04,,,0.5188269902751399,0.3263316227901665,0.3160708793403139,0.5191313769802525,0.0008103727714748,1.822664927610686,1.6200300833013164,0.5383546110866894,0.2602942854052366,0.999148142430735,0.6356591437579324,0.009999999999999981,0.019999999999999997,,,0.0,0.0,0.0
profile1d_cubic__robust_ossm_ekf,14_1,cohface_14_1,data/cohface_14_1.pkl,0.24,0.33,0.95,0.2175131252838945,9.715099545848492,0.06,0.09,1.0,13.924071334479514,0.010999804,0.0121555915721231,0.7946865433543665,0.0,1.0,0.0,profile1d_cubic,robust_ossm_ekf,profile1d_cubic__kfstd,0.23,0.04,,,0.5188269902751399,0.3263316227901665,0.3163388674284279,0.5226443226564529,0.0008103727714748,2.0505417295149364,1.6200300833013164,0.5250395743393134,0.2506048236410364,1.0945766764473863,0.6361083693890839,0.009999999999999981,0.019999999999999997,,,0.0,0.0,0.0
of_farneback__robust_ossm_ekf,14_3,cohface_14_3,data/cohface_14_3.pkl,0.56,0.7,0.75,0.4718212606959981,3.1019192335970103,0.47,0.64,0.81,8.368230597708326,0.10598183,0.0016194331983805,0.8896937186157872,0.0,1.0,0.0,of_farneback,robust_ossm_ekf,of_farneback__kfstd,0.55,0.47,,,0.4109078271451392,0.2162480469462531,0.2839825278696713,0.2631863224793914,0.0040485829959514,2.2442826806006577,1.410871289197881,0.4403488865893714,0.2873635979160444,1.0137683322644742,0.4187616175806867,0.010000000000000009,0.0,,,0.0,0.0,0.0
dof__robust_ossm_ekf,14_3,cohface_14_3,data/cohface_14_3.pkl,0.7,0.91,0.59,0.4535001358423499,0.8310315178167188,1.22,1.77,0.89,4.301938361716838,0.24525222,0.3076923076923077,0.1432231465868532,0.0,0.0,1.0,dof,robust_ossm_ekf,dof__kfstd,0.66,0.5,,,0.4109078271451392,0.2162480469462531,0.355262769958679,0.4057454736457916,0.0,1.780970520956006,1.410871289197881,0.4553689071361674,0.228594302668109,1.0746037762952385,0.6061839795289015,0.039999999999999925,0.72,,,0.0,0.0,0.0
profile1d_linear__robust_ossm_ekf,14_3,cohface_14_3,data/cohface_14_3.pkl,0.35,0.48,0.89,0.3050327760151082,6.485356839804826,0.27,0.34,0.92,12.03177674682696,0.121140644,0.0080971659919028,0.1803344791958483,0.0,0.0,1.0,profile1d_linear,robust_ossm_ekf,profile1d_linear__kfstd,0.37,0.28,,,0.4109078271451392,0.2162480469462531,0.2452032367286458,0.3948529748953162,0.0,1.5872573890400423,1.410871289197881,0.6302605353556563,0.3603844403395176,1.0605894116171697,0.42939264589104487,-0.020000000000000018,-0.010000000000000009,,,1.0,1.0,1.0
profile1d_quadratic__robust_ossm_ekf,14_3,cohface_14_3,data/cohface_14_3.pkl,0.39,0.52,0.87,0.341375897817159,5.768484964210679,0.27,0.35,0.91,12.196134643442846,0.098153576,0.0194331983805668,0.7121868449538413,0.0,1.0,0.0,profile1d_quadratic,robust_ossm_ekf,profile1d_quadratic__kfstd,0.38,0.29,,,0.4109078271451392,0.2162480469462531,0.2380507565202087,0.3952000411876516,0.0,1.8966603151962933,1.410871289197881,0.5174761737899283,0.307324071856961,1.0351129211769177,0.42959704672323085,0.010000000000000009,-0.019999999999999962,,,0.0,1.0,0.0
profile1d_cubic__robust_ossm_ekf,14_3,cohface_14_3,data/cohface_14_3.pkl,0.39,0.52,0.86,0.3442093357102714,5.652546838223945,0.27,0.35,0.91,12.010513949733564,0.09181821,0.0,0.2503803828126048,0.0,0.0,1.0,profile1d_cubic,robust_ossm_ekf,profile1d_cubic__kfstd,0.38,0.29,,,0.4109078271451392,0.2162480469462531,0.2381257899788655,0.3932747998408697,0.0,2.072056816543476,1.410871289197881,0.5089731418511101,0.3060513129403008,1.1833438371264031,0.428463197247982,0.010000000000000009,-0.019999999999999962,,,0.0,1.0,0.0
of_farneback__robust_ossm_ekf,15_2,cohface_15_2,data/cohface_15_2.pkl,0.78,0.93,0.57,0.5760959282475943,0.6437542232802247,0.34,0.4,0.88,5.85298713666238,0.3853079,0.4001629991850041,2.047077413944868,0.0,0.0,1.0,of_farneback,robust_ossm_ekf,of_farneback__kfstd,0.77,0.33,,,0.4181732872208473,0.273518867578754,0.4449404162537232,0.427406030887703,0.0138549307253463,2.8860870184121588,1.5196858483996327,0.2921561977841621,0.124080622498285,0.9763344152933848,0.8418141430212137,0.010000000000000009,0.010000000000000009,,,0.0,0.0,0.0
dof__robust_ossm_ekf,15_2,cohface_15_2,data/cohface_15_2.pkl,1.02,1.25,0.22,0.5993860013280945,-1.8979125229182452,10.38,10.39,0.99,8.84912713352737,3.0379553,0.0032599837000814,0.1073443393946605,0.0,0.0,1.0,dof,robust_ossm_ekf,dof__kfstd,0.94,9.91,,,0.4181732872208473,0.273518867578754,0.3355926905824519,0.180762988532844,0.0024449877750611,2.0596236012483824,1.5196858483996327,0.3634643610260125,0.1940517820661015,1.07806544905529,0.48880427949092264,0.08000000000000007,0.47000000000000064,,,0.0,0.0,0.0
profile1d_linear__robust_ossm_ekf,15_2,cohface_15_2,data/cohface_15_2.pkl,0.29,0.37,0.93,0.2421506855197319,8.770833278522066,0.04,0.07,0.99,17.66844043429547,0.0068918485,0.0700896495517522,0.4184698500651409,0.0,0.0,1.0,profile1d_linear,robust_ossm_ekf,profile1d_linear__kfstd,0.29,0.04,,,0.4181732872208473,0.273518867578754,0.3599092009811205,0.4042716142390568,0.0,1.6595010245297974,1.5196858483996327,0.6697560519816613,0.2876554618359178,1.04390664211147,0.6515224770308994,0.0,0.0,,,0.0,0.0,0.0
profile1d_quadratic__robust_ossm_ekf,15_2,cohface_15_2,data/cohface_15_2.pkl,0.27,0.33,0.94,0.2440838006457956,9.581441933200871,0.03,0.05,1.0,17.692399902410877,0.0028412342,0.1092094539527302,0.4184999316936034,0.0,0.0,1.0,profile1d_quadratic,robust_ossm_ekf,profile1d_quadratic__kfstd,0.26,0.04,,,0.4181732872208473,0.273518867578754,0.3256151389286629,0.4219478007440578,0.0065199674001629,1.9503403137583109,1.5196858483996327,0.5730629060401127,0.2558555469932799,1.0473933956149868,0.6302491821079492,0.010000000000000009,-0.010000000000000002,,,0.0,1.0,0.0
profile1d_cubic__robust_ossm_ekf,15_2,cohface_15_2,data/cohface_15_2.pkl,0.27,0.34,0.94,0.2442970232127305,9.524335121716506,0.02,0.05,1.0,17.769506436003184,0.0030413866,0.0244498777506112,0.3494731387399363,0.0,0.0,1.0,profile1d_cubic,robust_ossm_ekf,profile1d_cubic__kfstd,0.26,0.05,,,0.4181732872208473,0.273518867578754,0.3282496862474341,0.4231706061018895,0.0040749796251018,2.184619946881725,1.5196858483996327,0.5407063112326431,0.2399447168421662,1.162555975340384,0.6257093703140686,0.010000000000000009,-0.030000000000000002,,,0.0,1.0,0.0
of_farneback__robust_ossm_ekf,40_1,cohface_40_1,data/cohface_40_1.pkl,0.72,0.9,0.6,0.4900299016003371,0.91970345008971,4.99,6.74,-0.38,0.1086807432764262,0.41866544,0.0397727272727272,2.2816845530361745,0.0,0.0,1.0,of_farneback,robust_ossm_ekf,of_farneback__kfstd,0.72,4.97,,,0.392575295937356,0.2235934667023776,0.434226806829834,0.3115220444584253,0.0284090909090909,2.6939057903507404,1.4248275867345177,0.341016662809157,0.1956711583234412,0.9686812560868096,0.7932563247264439,0.0,0.020000000000000462,,,0.0,0.0,0.0
dof__robust_ossm_ekf,40_1,cohface_40_1,data/cohface_40_1.pkl,0.54,0.67,0.78,0.3976629108788517,3.5369007102797028,3.39,4.59,-0.12,8.136965635008009,0.14725551,0.3993506493506493,0.1145329986152469,0.0,0.0,1.0,dof,robust_ossm_ekf,dof__kfstd,0.47,3.37,,,0.392575295937356,0.2235934667023776,0.3924807853564551,0.5261867321951261,0.0040584415584415,1.9267819612193475,1.4248275867345177,0.4503180351644682,0.1758741228682018,1.0771907146370865,0.7547749199814775,0.07000000000000006,0.020000000000000018,,,0.0,0.0,0.0
profile1d_linear__robust_ossm_ekf,40_1,cohface_40_1,data/cohface_40_1.pkl,0.94,1.13,0.38,0.574040186013923,-0.6813193764376113,4.53,6.24,-0.03,1.8720650439374296,0.35865605,0.0389610389610389,2.060228864005957,0.0,0.0,1.0,profile1d_linear,robust_ossm_ekf,profile1d_linear__kfstd,0.97,3.66,,,0.392575295937356,0.2235934667023776,0.4262235099123443,0.3394944166282596,0.0324675324675324,1.934375411704206,1.4248275867345177,0.4916261813279094,0.282215403358369,0.976423688134955,0.7990574065399663,-0.030000000000000027,0.8700000000000001,,,1.0,0.0,0.0
profile1d_quadratic__robust_ossm_ekf,40_1,cohface_40_1,data/cohface_40_1.pkl,0.67,0.89,0.61,0.4788520776008215,1.1483253142115104,3.77,5.33,0.1,2.534460297416849,0.512223,0.0689935064935065,1.7558059928761651,0.0,0.0,1.0,profile1d_quadratic,robust_ossm_ekf,profile1d_quadratic__kfstd,0.68,4.73,,,0.392575295937356,0.2235934667023776,0.3987108323815217,0.2510276211243351,0.0202922077922077,2.401541996474529,1.4248275867345177,0.3410703460480715,0.205424218090619,0.9824389206151996,0.6811446835701482,-0.010000000000000009,-0.9600000000000004,,,1.0,1.0,1.0
