method,trial,event,frame,time,nis,g_t,g_z_eff,q_harm
dof__robust_ossm_ekf,1_0,fail_slip,691,691.0,0.1282628848361672,0.45169177098385965,0.43236006791244935,0.0026302389017547607
dof__robust_ossm_ekf,1_0,fail_slip,698,698.0,0.12670274199701453,0.5780736930177047,0.5543505753961554,0.0024159406865497182
dof__robust_ossm_ekf,1_0,fail_lock,555,555.0,0.19364864173244237,0.6380138988073839,0.2333059176750825,0.3919091521504609
dof__robust_ossm_ekf,1_0,fail_lock,556,556.0,0.23229540370313995,0.6481939590742494,0.23691426015637623,0.3800043684233072
dof__robust_ossm_ekf,1_0,fail_lock,557,557.0,0.2593912019843696,0.6541445657499162,0.239014796183317,0.3688884186177346
dof__robust_ossm_ekf,1_0,fail_lock,558,558.0,0.2728228779849828,0.6571435641777251,0.2400824143965153,0.35854584085552604
dof__robust_ossm_ekf,1_0,fail_lock,559,559.0,0.2754058036391944,0.6570328866399461,0.2400543401652685,0.34896412018127676
dof__robust_ossm_ekf,1_0,fail_lock,752,752.0,1.2816917922074116,0.40047303319480065,0.1466027621889136,0.5872124042880796
dof__robust_ossm_ekf,1_0,fail_lock,753,753.0,1.26069231728522,0.4013457687157765,0.14690128961094498,0.5475529317968326
dof__robust_ossm_ekf,1_0,fail_lock,804,804.0,0.021567370387270923,0.45422478410567335,0.16648182399140968,0.40254115823052194
dof__robust_ossm_ekf,1_0,fail_lock,805,805.0,0.016924864244112495,0.45409399938030337,0.16644597184886686,0.3823248050417434
dof__robust_ossm_ekf,1_0,fail_lock,806,806.0,0.009650568794803676,0.45453458010904896,0.1666451474155602,0.363552400853371
dof__robust_ossm_ekf,1_0,fail_lock,807,807.0,0.002570191197897151,0.4544333328394832,0.16666618107350056,0.3461069844343022
dof__robust_ossm_ekf,1_0,fail_lock,808,808.0,0.0001996830011989301,0.45516869762570733,0.16701302306538424,0.32988067546682875
dof__robust_ossm_ekf,1_0,fail_lock,809,809.0,0.009349965942869477,0.4552553035062814,0.17354922210957838,0.3147740502255288
dof__robust_ossm_ekf,1_0,fail_lock,810,810.0,0.0393335890751847,0.45682763536218646,0.18596787869147513,0.3006955783358869
dof__robust_ossm_ekf,1_0,fail_lock,811,811.0,0.1027471807813144,0.4555112404157274,0.19637231000799668,0.2875611722609383
dof__robust_ossm_ekf,1_0,fail_lock,812,812.0,0.20774500598236936,0.4529477308772045,0.20538066674558675,0.27529387454802595
dof__robust_ossm_ekf,1_0,fail_lock,813,813.0,0.3400786526652917,0.448037055605742,0.2125015178505099,0.26382367539329854
dof__robust_ossm_ekf,1_0,fail_lock,814,814.0,0.5059848391875705,0.4425909935509344,0.21863464314999662,0.25308743076525647
dof__robust_ossm_ekf,1_0,fail_lock,815,815.0,0.7060563226878332,0.43482080198927126,0.22287039495780867,0.24302884704781247
dof__robust_ossm_ekf,1_0,fail_lock,816,816.0,0.9283984994204999,0.42578794595051395,0.2257132327759498,0.2335985055183429
dof__robust_ossm_ekf,1_0,fail_lock,817,817.0,1.1552166287104317,0.41547264524298866,0.22715408513493981,0.22475391269971418
dof__robust_ossm_ekf,1_0,fail_lock,818,818.0,1.3762566314770064,0.4052676668258732,0.22796559986174972,0.21645957103624344
dof__robust_ossm_ekf,1_0,fail_lock,819,819.0,1.577967008573589,0.39495871383144543,0.2280633705577896,0.20868705851808692
dof__robust_ossm_ekf,1_0,fail_lock,820,820.0,1.7391521300895174,0.3898688838316416,0.23062477502527903,0.2014150902973449
dof__robust_ossm_ekf,1_0,fail_lock,821,821.0,1.8479517934196057,0.38249983449764624,0.23105876557136798,0.1946295235563948
dof__robust_ossm_ekf,1_0,fail_lock,822,822.0,1.9193470707131621,0.37763112032251955,0.23225646274276454,0.18832326498501054
dof__robust_ossm_ekf,1_0,fail_lock,823,823.0,1.9160900257185203,0.3743572894148381,0.23398892413839073,0.1824960458095814
dof__robust_ossm_ekf,1_0,fail_lock,824,824.0,1.8574327848139247,0.37458298399054984,0.2375326519235459,0.17715404086443864
dof__robust_ossm_ekf,1_0,fail_lock,825,825.0,1.7590677269469683,0.37722019628576686,0.24227239345677423,0.17230932402531834
dof__robust_ossm_ekf,1_0,fail_lock,826,826.0,1.6267505534101139,0.3816387114923431,0.24783884522025815,0.1679791728915258
dof__robust_ossm_ekf,1_0,fail_lock,827,827.0,1.4608491772359968,0.3874954302474654,0.25402558292277466,0.1641852628273267
dof__robust_ossm_ekf,1_0,fail_lock,1200,1200.0,0.001291384903365561,0.4516024235641044,0.16575381181202598,0.5768620728156698
dof__robust_ossm_ekf,1_0,fail_lock,1201,1201.0,0.0014944578006636168,0.4541800441093986,0.1666908346996556,0.5691254713583588
dof__robust_ossm_ekf,1_0,fail_lock,1202,1202.0,0.0012006714605164695,0.546256599609417,0.2004844557641167,0.5617809226684024
dof__robust_ossm_ekf,1_0,fail_lock,1203,1203.0,0.0006861884976192904,0.6178943765079988,0.2267777599349512,0.5546015714807259
dof__robust_ossm_ekf,1_0,fail_lock,1204,1204.0,0.00023838596684065775,0.6641286914344974,0.2437588171470525,0.5474170782082123
