method,trial,event,frame,time,nis,g_t,g_z_eff,q_harm
of_farneback__robust_ossm_ekf,10_0_1,fail_double,69,69.0,0.3287018402667797,0.47553276885897544,0.47553276885897544,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,70,70.0,0.24257885283444308,0.48759820165540124,0.48759820165540124,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,71,71.0,0.15251098570698307,0.8070514986149707,0.8070514986149707,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,72,72.0,0.05343768488538107,0.8006741776368047,0.8006741776368047,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,73,73.0,0.008544937970133391,0.7977271355991462,0.7977271355991462,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,74,74.0,0.000952587635156081,0.7993176298546152,0.7993176298546152,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,75,75.0,0.01955747818819042,0.8028296282239369,0.8028296282239369,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,76,76.0,0.05462162826294306,0.8073020815532164,0.8073020815532164,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,77,77.0,0.09634545039446336,0.8113173602786474,0.8113173602786474,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,78,78.0,0.13203133113720902,0.8154673213872539,0.8154673213872539,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,79,79.0,0.15321289903673174,0.8181018221768173,0.8181018221768173,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,80,80.0,0.16187766859058295,0.8198493555316,0.8198493555316,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,81,81.0,0.1579517002804997,0.8209660715387094,0.8209660715387094,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,82,82.0,0.13875995974979305,0.8218630162645807,0.8218630162645807,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,83,83.0,0.10696741165915098,0.8212450241883196,0.8212450241883196,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,84,84.0,0.07192250855474312,0.8203245858345365,0.8203245858345365,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,85,85.0,0.03899146306103652,0.8183537123147493,0.8183537123147493,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,86,86.0,0.013316015177691404,0.8167841953844479,0.8167841953844479,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,87,87.0,0.0006471112426364469,0.8149650909997745,0.8149650909997745,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,88,88.0,0.005035129307606787,0.8147723157342267,0.8147723157342267,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,89,89.0,0.02956064755889383,0.8148365017581134,0.8148365017581134,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,90,90.0,0.07617228879787102,0.8083470144402612,0.8083470144402612,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,91,91.0,0.1448609904321564,0.7860590235857704,0.7860590235857704,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,92,92.0,0.23024381270804445,0.7588716547817366,0.7588716547817366,0.0
of_farneback__robust_ossm_ekf,10_0_1,fail_double,93,93.0,0.3484983688723396,0.7340639477550188,0.7340639477550188,0.0
