method,trial,event,frame,time,nis,g_t,g_z_eff,q_harm
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_diverge,308,308.0,13.677608021003687,0.003975081873080282,0.0014356883298575459,0.7995639140499318
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_diverge,378,378.0,15.697168866173481,0.0019407578225559916,0.0018147806698801162,0.008362126382997086
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_diverge,480,480.0,11.077238962830345,0.030072514893366546,0.027413444834191704,0.021331374473516816
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1096,1096.0,0.47436817798368053,0.6816449805561755,0.24567600638151582,0.4355555451442427
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1097,1097.0,0.3756045364368097,0.6893782654294263,0.24855109164210237,0.4386259643722343
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1098,1098.0,0.2913900870882288,0.6962771563565137,0.25112621942542096,0.441892883624215
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1099,1099.0,0.21712390856339228,0.7018495222586544,0.2532169470513359,0.445309765985476
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1100,1100.0,0.15412968298458501,0.7063574048082942,0.2549208859274669,0.4488175309208867
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1101,1101.0,0.10301524801276889,0.7101674488026768,0.25636621402379806,0.45234384167977637
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1102,1102.0,0.06316364955089444,0.7134009579736227,0.25759414715289103,0.45580183934597657
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1103,1103.0,0.03369371914722792,0.7163905995622102,0.2587234488061553,0.45908873818241236
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1104,1104.0,0.0138395193019581,0.7197806300630092,0.2599854512164616,0.4620856361667476
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1105,1105.0,0.0029012169424189314,0.7242144123917106,0.26161154078615356,0.46465923657128366
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1106,1106.0,6.051838986611077e-05,0.7304582309177177,0.2638758824550275,0.46666455351788144
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1107,1107.0,0.004555291138605426,0.7376524523414404,0.2664748951342514,0.46794772091402626
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1108,1108.0,0.015696900298173867,0.7444172360822233,0.26890282962804646,0.4683497942189961
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1109,1109.0,0.03275963915422994,0.747909373495343,0.2701349262641654,0.4677124839942442
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1110,1110.0,0.054830489605952416,0.7470554012956792,0.26978474437036926,0.4658848638470567
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1111,1111.0,0.0805079576620066,0.7433512179489088,0.26839503585520047,0.4627302107634673
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1112,1112.0,0.10817815673033412,0.7401182329144015,0.2671683717948612,0.4581335465609175
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1113,1113.0,0.13712254855266082,0.737546644012809,0.26617560977531823,0.4520091211859452
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1114,1114.0,0.1654930546220108,0.7359932666660178,0.2655450208185233,0.44430571404843666
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1115,1115.0,0.18873764133178694,0.7347949418218398,0.26503892047519445,0.4350093690756875
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1116,1116.0,0.20625661722176916,0.7345652043167655,0.2648875124372502,0.4241443953661401
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1117,1117.0,0.2160527632132239,0.7342303814504807,0.2647029199067694,0.41177261775386054
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1118,1118.0,0.21899406720449918,0.7342721468476361,0.26466332140594373,0.39799051360766474
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1119,1119.0,0.21209079413859458,0.7345064675942157,0.2646996225389386,0.38292463315065267
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1120,1120.0,0.19491736788459196,0.7355958663467245,0.2650594731664263,0.36672611789198534
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1121,1121.0,0.1674861013341699,0.7362697348557286,0.2652891008143441,0.34956456841052247
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1122,1122.0,0.13373411561502138,0.7373884675960329,0.26570662425602365,0.3316215056368663
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1123,1123.0,0.09660159471463244,0.7382700247856288,0.278605918758183,0.31308456406502005
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1124,1124.0,0.059040226042641,0.7387808658864958,0.30436618049900976,0.2941433827419919
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1125,1125.0,0.02755184662226422,0.7379486785398908,0.32989125014177223,0.27498714486128073
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1126,1126.0,0.006600442335930177,0.7353312507050203,0.35462200909940544,0.2558033568192746
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1127,1127.0,9.909158890830418e-05,0.7283399530057979,0.3768065830047294,0.23677758922425776
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1128,1128.0,0.01124508954205549,0.7139547401736133,0.39401502905863733,0.21809397643989462
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1129,1129.0,0.04234644676929943,0.685449821819596,0.40055962674834306,0.19993613158738546
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1130,1130.0,0.09493074918448312,0.6299733988562424,0.3876854200709398,0.18248798514141584
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1131,1131.0,0.1708034596078108,0.5361004744089444,0.3456418619946191,0.1659341607530249
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1132,1132.0,0.27424479761506854,0.5160026226084065,0.34689502329879685,0.15045952314032662
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1133,1133.0,0.40145770788708435,0.5057619007875345,0.3525131812240477,0.13624750101882
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1134,1134.0,0.5468889155373107,0.49297114576884377,0.3543698124207952,0.12347709734912714
profile1d_cubic__robust_ossm_ekf,10_0_1,fail_double,1135,1135.0,0.7014237896235308,0.4784260901156112,0.35292618223813377,0.11231879939649443
profile1d_cubic__robust_ossm_ekf,10_1_1,fail_diverge,791,791.0,22.217000821537418,0.00019222032871127573,6.911107853213262e-05,0.5217526837440495
profile1d_cubic__robust_ossm_ekf,10_1_1,fail_diverge,863,863.0,15.668065554354591,0.003447670354381493,0.0031820644903324084,0.012656674457296858
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,207,207.0,3.983280427184078,0.16723967677176205,0.060525821125371644,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,208,208.0,4.143607522161901,0.15749169114268757,0.05700693052149357,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,209,209.0,4.282304795153858,0.14851404773854152,0.053765939175810504,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,210,210.0,4.401332557099946,0.14108206040542082,0.051081669201500556,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,211,211.0,4.494951186165415,0.13485760658299742,0.04881998044634719,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,212,212.0,4.561272299531083,0.13017397267882827,0.047116585136223015,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,213,213.0,4.582770241364099,0.12689036441464532,0.0459201306501348,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,214,214.0,4.566629506741216,0.12594597091446413,0.04557001233918895,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,215,215.0,4.498376901536941,0.1267201215552365,0.04584072065544217,1.0
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,216,216.0,4.37083929500081,0.13054886732794235,0.04721495826614225,0.9886578778347593
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,217,217.0,4.1779048621173756,0.13684605208856526,0.049478987523432064,0.9752270533834344
profile1d_cubic__robust_ossm_ekf,10_2_1,fail_double,218,218.0,3.9439188114322885,0.1470887422299014,0.05316552790199226,0.9623749672658727
