method,event,frame,time,nis,g_t,g_z_eff,q_harm
profile1d_cubic__robust_ossm_ukf,fail_diverge,1075,1075.0,372979.2332170511,0.0,0.0,0.25737746851326976
profile1d_cubic__robust_ossm_ukf,fail_slip,425,425.0,0.12674743628389498,0.7216269552511203,0.0,0.4045491865915905
profile1d_cubic__robust_ossm_ukf,fail_slip,531,531.0,0.08215387315432107,0.7248173197832805,0.0,0.3500124698949344
profile1d_cubic__robust_ossm_ukf,fail_lock,58,58.0,0.011527608165013166,0.9019978570311075,0.04508316705789338,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,59,59.0,0.01454686321582261,0.9042534676490955,0.045193567540395135,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,60,60.0,0.017845007068947955,0.9047417927222927,0.045216481206609566,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,61,61.0,0.01993081841815204,0.9038466974937267,0.04517036957226067,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,62,62.0,0.021330025193183198,0.9015509162910047,0.045055928212755766,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,63,63.0,0.022508878305749037,0.8977390467673123,0.044866299949018563,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,64,64.0,0.022506663759965698,0.8924288265379094,0.04460173871453733,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,65,65.0,0.02123788370504248,0.8865440921753475,0.04430912458635894,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,66,66.0,0.01855273390838056,0.8828290658310209,0.044125453435386236,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,67,67.0,0.014490483267547013,0.8786025788839507,0.04391667409342258,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,68,68.0,0.009862898523149503,0.8650905781321854,0.0432442017386735,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,69,69.0,0.005550961075808811,0.8598589500187054,0.042985724144119185,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,70,70.0,0.0021104422300593684,0.8644827962448937,0.04321953380462423,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,71,71.0,0.00019861396680353484,0.8712329305251928,0.04355927442248185,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,72,72.0,0.0003243365317383248,0.8772663884340387,0.043862750815488724,0.0
profile1d_cubic__robust_ossm_ukf,fail_lock,73,73.0,0.0025283232519076135,0.8815230877936823,0.04407562527592959,0.0
