method,trial,event,frame,time,nis,g_t,g_z_eff,q_harm
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,435,435.0,1.1853547129711193,0.8868284278044924,0.8868284278044924,0.2035613317562263
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,436,436.0,1.1460164494037268,0.8868316327230089,0.8868316327230089,0.21660557905379643
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,437,437.0,1.1024544280452835,0.8924576802643941,0.8924576802643941,0.2311032203141899
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,438,438.0,1.0548562885121995,0.9240609344433668,0.9240609344433668,0.24655564036046218
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,439,439.0,0.9997550697508285,0.9399089616288007,0.9399089616288007,0.26242796733610524
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,440,440.0,0.9409360973522486,0.947921115076643,0.947921115076643,0.2781764556054456
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,441,441.0,0.8815728886635115,0.9521507071550592,0.9521507071550592,0.2932992392239228
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,442,442.0,0.8233495046915543,0.9545379599528057,0.9545379599528057,0.30812680061642017
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,443,443.0,0.7661021309731981,0.9559068762843953,0.9559068762843953,0.3228264748520372
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,444,444.0,0.7105887740794284,0.9568909948050507,0.9568909948050507,0.3375741424776693
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,445,445.0,0.6579591031404839,0.9573650049670525,0.9573650049670525,0.3525364511849824
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,446,446.0,0.607764807439921,0.9575254557278167,0.9575254557278167,0.3678618508904266
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,447,447.0,0.5601795797614558,0.9575166536427148,0.9575166536427148,0.3836774688286074
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,448,448.0,0.5153751163112743,0.9571763900168265,0.9571763900168265,0.4000892986531702
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,449,449.0,0.47322442533487,0.9563680747302242,0.9563680747302242,0.4171839625730072
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,450,450.0,0.43353347393088393,0.9547239522868488,0.9547239522868488,0.43503098113469535
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,451,451.0,0.3957437723346936,0.9514623564386047,0.9514623564386047,0.45368497955850295
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,452,452.0,0.3601359889170367,0.9450903886839718,0.9450903886839718,0.4730544950522134
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,453,453.0,0.3269788607552167,0.9303358891365301,0.9303358891365301,0.4925828510591879
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,454,454.0,0.296072048334875,0.8976820181831774,0.8976820181831774,0.5122967396352145
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,455,455.0,0.26774885502796003,0.8850808332043467,0.8850808332043467,0.5322369974823327
profile1d_linear__robust_ossm_ekf,10_0_1,fail_lock,456,456.0,0.24058375062120282,0.8852347656748899,0.8852347656748899,0.5524599549447641
