method,event,frame,time,nis,g_t,g_z_eff,q_harm
profile1d_linear__robust_ossm_ukf,fail_slip,564,564.0,0.04556856028227812,0.6726244729454698,0.10157984254450539,0.2517251799228793
profile1d_linear__robust_ossm_ukf,fail_slip,1064,1064.0,0.012635583543669985,0.8173342935240665,0.2508144561310717,0.20521691206104264
profile1d_linear__robust_ossm_ukf,fail_lock,58,58.0,0.0002955810717163453,0.7064682108561158,0.02332324373618854,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,59,59.0,0.00042388622300563,0.7912481083350286,0.02568669595034649,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,60,60.0,0.0006136526859271896,0.8236143414403571,0.02629892248440417,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,61,61.0,0.0008753187977240593,0.8359131927937181,0.02626096439249363,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,62,62.0,0.0011720798579250465,0.8411363541376192,0.026005440312498403,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,63,63.0,0.0014114401654355226,0.843597840421583,0.025673872600212484,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,64,64.0,0.001530637469381441,0.8449920184210555,0.02532059648980382,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,65,65.0,0.0014338001526825964,0.8461786379949301,0.02497197326005843,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,66,66.0,0.0011378542146025525,0.8478490520137123,0.02464792518256093,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,67,67.0,0.0007110921345795622,0.8501392377478084,0.02435123618180816,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,68,68.0,0.00027116319267702954,0.8527595081543572,0.024072519074814593,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,69,69.0,1.1812566142847061e-05,0.8542630155481096,0.02377073496322234,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,70,70.0,0.0001444670825156849,0.8537653276949964,0.023422565783481376,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,71,71.0,0.000841028959594325,0.8516933086017359,0.023041059547955888,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,72,72.0,0.002194881726977109,0.8495974509252461,0.022669287172968323,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,73,73.0,0.004225519810508113,0.8480377358725326,0.022321732857297022,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,74,74.0,0.007032561312078398,0.8471013381762116,0.021999695585366442,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,75,75.0,0.010696908544262237,0.8465092879085795,0.02169500247457259,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,76,76.0,0.015103141599678417,0.8460734264885631,0.02140221578200862,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,77,77.0,0.020007096846824068,0.8456625834983578,0.021117609982930045,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,78,78.0,0.025508992338446564,0.8454068860716634,0.020844084162990273,0.0
profile1d_linear__robust_ossm_ukf,fail_lock,79,79.0,0.031052756707617896,0.8452575813429998,0.0,0.39062529151228226
profile1d_linear__robust_ossm_ukf,fail_lock,80,80.0,0.03701499387986437,0.8456179824636239,0.0,0.37031142118603316
profile1d_linear__robust_ossm_ukf,fail_lock,81,81.0,0.043380640222894784,0.8467991851753762,0.0,0.34844512488324175
profile1d_linear__robust_ossm_ukf,fail_lock,82,82.0,0.04920436930946714,0.8489024060894541,0.0,0.325439966424628
profile1d_linear__robust_ossm_ukf,fail_lock,83,83.0,0.05455178396844867,0.8511043217724247,0.0,0.30170809001810683
profile1d_linear__robust_ossm_ukf,fail_lock,84,84.0,0.05956810231862472,0.8520289795632816,0.0014552347453761691,0.27764043532482807
profile1d_linear__robust_ossm_ukf,fail_lock,85,85.0,0.06482663355578894,0.8505523545025698,0.002979838908504234,0.25359578492771856
profile1d_linear__robust_ossm_ukf,fail_lock,86,86.0,0.0692387650764164,0.8475787426248196,0.004434252518023634,0.22989815309923037
profile1d_linear__robust_ossm_ukf,fail_lock,87,87.0,0.07356578637080163,0.8445980340136318,0.005805167602833316,0.20684187011959554
profile1d_linear__robust_ossm_ukf,fail_lock,88,88.0,0.07685596821268405,0.8425706796701482,0.007087021567149049,0.18470105220569413
profile1d_linear__robust_ossm_ukf,fail_lock,89,89.0,0.07908377269918158,0.8414399864667763,0.008271220817050182,0.1637387979657459
profile1d_linear__robust_ossm_ukf,fail_lock,90,90.0,0.08058002240314795,0.8409159621840347,0.009346595080511047,0.1442129497174864
profile1d_linear__robust_ossm_ukf,fail_lock,91,91.0,0.08068721706237318,0.8405239112594123,0.010298484907701744,0.1263772738396732
profile1d_linear__robust_ossm_ukf,fail_lock,92,92.0,0.08003208879453741,0.8399329076782854,0.016669047704399434,0.11047798808118701
profile1d_linear__robust_ossm_ukf,fail_lock,93,93.0,0.07823912841490507,0.8385842652045102,0.017657115911037403,0.09674618621070061
profile1d_linear__robust_ossm_ukf,fail_lock,94,94.0,0.07585847976701639,0.8359235600705957,0.01838875763195191,0.0853872637030298
profile1d_linear__robust_ossm_ukf,fail_lock,95,95.0,0.07225929704751688,0.8303121529731312,0.01881743716315097,0.07656889498105161
profile1d_linear__robust_ossm_ukf,fail_lock,96,96.0,0.0689128100679537,0.8181783615913446,0.025142635840217285,0.07040938567795915
profile1d_linear__robust_ossm_ukf,fail_lock,97,97.0,0.06461566620800394,0.7872071699848312,0.02430108391348436,0.06696824916097695
profile1d_linear__robust_ossm_ukf,fail_lock,98,98.0,0.0600814440569648,0.7072853364943377,0.02683010042391847,0.06624058935314124
profile1d_linear__robust_ossm_ukf,fail_lock,99,99.0,0.05543469351506818,0.6719447973805605,0.025279748380425893,0.0681562876651725
profile1d_linear__robust_ossm_ukf,fail_lock,100,100.0,0.05175855316553456,0.6724790749050901,0.024816960168059135,0.07258425124342362
profile1d_linear__robust_ossm_ukf,fail_lock,101,101.0,0.048691989613858795,0.6728143724189413,0.024091491488700236,0.07934128320681952
