method,trial,event,frame,time,nis,g_t,g_z_eff,q_harm
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,311,311.0,0.20821561159644908,1.0,1.0,0.7546650210187505
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,312,312.0,0.13219884955780786,1.0,1.0,0.740957255958525
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,313,313.0,0.0692527471654484,1.0,1.0,0.7278820037785956
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,314,314.0,0.024651873115636436,1.0,1.0,0.7156975040304622
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,315,315.0,0.002227255082338095,1.0,1.0,0.7046990166116275
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,316,316.0,0.004087657313354321,1.0,1.0,0.6952200416222892
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,317,317.0,0.030315110295555024,1.0,1.0,0.687628345206118
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,318,318.0,0.07900905823028742,1.0,1.0,0.6823141025749259
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,319,319.0,0.146480299342386,1.0,1.0,0.6796697914862229
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,320,320.0,0.2276747546730133,1.0,1.0,0.680063363952947
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,321,321.0,0.31646533549367367,1.0,1.0,0.6838074527353722
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,322,322.0,0.4056780473609936,1.0,1.0,0.6911277634470451
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,323,323.0,0.4876827743296734,1.0,1.0,0.702134630349479
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,414,414.0,0.0245975313072173,1.0,1.0,0.46914639649791484
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,415,415.0,0.054052778692803026,1.0,1.0,0.44089873525572393
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,724,724.0,0.00239403629221711,1.0,1.0,0.3481301626871488
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,725,725.0,0.008770203937996523,1.0,1.0,0.3273628832299345
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,726,726.0,0.019037772846080884,1.0,1.0,0.30752773823261026
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,727,727.0,0.032802427445735964,1.0,1.0,0.2888162279118892
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1102,1102.0,0.012321048473367487,1.0,1.0,0.4518569806384295
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1103,1103.0,0.007886408455690934,1.0,1.0,0.454593427802199
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1104,1104.0,0.004428309095170459,1.0,1.0,0.45700705896792215
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1105,1105.0,0.0019644821893047802,1.0,1.0,0.4589696887314561
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1106,1106.0,0.0004938528354460305,1.0,1.0,0.46034281477300787
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1107,1107.0,7.264074672718945e-08,1.0,1.0,0.4609803941038624
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1108,1108.0,0.0004613832642945598,1.0,1.0,0.4607325137426868
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1109,1109.0,0.0018414029440396373,1.0,1.0,0.4594508593053464
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1110,1110.0,0.004071587301405234,1.0,1.0,0.4569951048011073
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1111,1111.0,0.007027251207286496,1.0,1.0,0.4532394066552653
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1112,1112.0,0.010514200333757688,1.0,1.0,0.4480794937158906
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1113,1113.0,0.014279717864451112,1.0,1.0,0.4414396192411273
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1114,1114.0,0.018017304013110445,1.0,1.0,0.4332773614059248
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1115,1115.0,0.02141307778576015,1.0,1.0,0.4235859437898542
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1116,1116.0,0.024237821219025932,1.0,1.0,0.4123949308263436
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1117,1117.0,0.02632490228399842,1.0,1.0,0.3997693487090035
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1118,1118.0,0.027520811895521788,1.0,1.0,0.38580693972488683
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1119,1119.0,0.02769542340538966,1.0,1.0,0.37063389663360197
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1120,1120.0,0.02676124710220484,1.0,1.0,0.35439976498286274
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1121,1121.0,0.024742483583109688,1.0,1.0,0.3372717334770456
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1122,1122.0,0.021766057579798125,1.0,1.0,0.3194285682718906
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1123,1123.0,0.01803863803881477,1.0,1.0,0.30105523105794013
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1124,1124.0,0.013865646343604807,1.0,1.0,0.28233902376011905
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1125,1125.0,0.009625126523981462,1.0,1.0,0.2634672088817217
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1126,1126.0,0.005733239783934689,1.0,1.0,0.24462574645288485
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1127,1127.0,0.0026005376338357673,1.0,1.0,0.22599886144750556
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1128,1128.0,0.0005929602466578633,1.0,1.0,0.20776921594745618
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1129,1129.0,1.4665474967964442e-05,1.0,1.0,0.1901183838704472
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1130,1130.0,0.0010958887284588355,1.0,1.0,0.1732272158311356
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1131,1131.0,0.0039632516555336735,1.0,1.0,0.15727577220413522
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1132,1132.0,0.008619473386534966,1.0,1.0,0.14244251621361528
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1133,1133.0,0.01494956173413036,1.0,1.0,0.1289024325368035
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1134,1134.0,0.022720770843164456,1.0,1.0,0.11682402664674556
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1135,1135.0,0.03159951598435526,1.0,1.0,0.10636543081058575
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1136,1136.0,0.04117160221727501,1.0,1.0,0.09766989488566774
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1137,1137.0,0.05092668100177772,1.0,1.0,0.09086100011900072
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1138,1138.0,0.06029498829501935,1.0,1.0,0.08603799685925079
profile1d_quadratic__robust_ossm_ekf,10_0_1,fail_double,1139,1139.0,0.06875090514929917,1.0,1.0,0.08327167169646489
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1192,1192.0,0.0017609646715451412,1.0,1.0,0.027764022649839373
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1193,1193.0,0.001866023154087501,1.0,1.0,0.027870531137346725
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1194,1194.0,0.001862029178221993,1.0,1.0,0.027896614458820843
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1195,1195.0,0.0017480749721580481,1.0,1.0,0.027830268850745566
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1196,1196.0,0.001540205751508843,1.0,1.0,0.027661258151661143
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1197,1197.0,0.001263465446380707,1.0,1.0,0.027381647240727676
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1198,1198.0,0.0009478280914004674,1.0,1.0,0.026986263619630434
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1199,1199.0,0.0006290315135025152,1.0,1.0,0.026473054593987327
profile1d_quadratic__robust_ossm_ekf,10_1_1,fail_lock,1200,1200.0,0.00034525452307577765,1.0,1.0,0.02584331295724456
