method,event,frame,time,nis,g_t,g_z_eff,q_harm
profile1d_quadratic__robust_ossm_ukf,fail_diverge,1075,1075.0,160372311.4783413,0.0,0.0,0.256255174546913
profile1d_quadratic__robust_ossm_ukf,fail_slip,425,425.0,0.12422669497522777,0.7218500025916437,0.0,0.4046760326331871
profile1d_quadratic__robust_ossm_ukf,fail_slip,531,531.0,0.08071585935365261,0.7249624345247363,0.0,0.3378457767750813
profile1d_quadratic__robust_ossm_ukf,fail_slip,1077,1077.0,0.0003365527859370088,0.9209134422924753,0.07903375670962717,0.27425368560641106
profile1d_quadratic__robust_ossm_ukf,fail_lock,58,58.0,0.01129059104416611,0.9019757930446228,0.04508237318344517,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,59,59.0,0.014217311958645593,0.9042649597594008,0.04519438918897542,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,60,60.0,0.017387135553402357,0.9047895140050514,0.04521916292392606,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,61,61.0,0.019524142013445666,0.9039454377018746,0.0451756704460185,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,62,62.0,0.020950266036644016,0.9017260002067625,0.045064906262026166,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,63,63.0,0.02199533633554763,0.898063645229019,0.044882666927951814,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,64,64.0,0.021849260562192947,0.8930616043675197,0.04463357881473597,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,65,65.0,0.020593111527155848,0.8877662167904438,0.04437049305469379,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,66,66.0,0.017948538943602134,0.8849255167716723,0.04423047711667751,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,67,67.0,0.013998644242728392,0.8812505801214549,0.044049226404990205,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,68,68.0,0.009473401839228127,0.8677819588589841,0.04337886880819116,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,69,69.0,0.005296194156906499,0.8620184740140426,0.04309378846534409,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,70,70.0,0.001988129699036984,0.8659702244749442,0.04329397419352876,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,71,71.0,0.00017751395429459703,0.8722394987968936,0.0436096491410497,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,72,72.0,0.0003368238768130052,0.8779788646462039,0.04389839569555742,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,73,73.0,0.0025128990632449673,0.8820716714085756,0.04410302839064714,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,74,74.0,0.006595166440938523,0.8845238516079512,0.04422517747276786,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,75,75.0,0.01242534018019199,0.8853101400405534,0.04426464906701488,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,76,76.0,0.01968387959716421,0.8844297273789592,0.044221328365411185,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,77,77.0,0.02877306766934531,0.8817123323533497,0.044084609934702756,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,78,78.0,0.0391364457839534,0.8771589847077013,0.04385534402244526,0.0
profile1d_quadratic__robust_ossm_ukf,fail_lock,79,79.0,0.0498892977832216,0.870877740003931,0.0,0.560262958972342
profile1d_quadratic__robust_ossm_ukf,fail_lock,80,80.0,0.06090442376543151,0.8652445593676269,0.0,0.5455210003166084
profile1d_quadratic__robust_ossm_ukf,fail_lock,81,81.0,0.0713157120939903,0.8662031295796239,0.0,0.5280585597945866
profile1d_quadratic__robust_ossm_ukf,fail_lock,82,82.0,0.08111693389271292,0.8750656990429263,0.0,0.5080938333593654
profile1d_quadratic__robust_ossm_ukf,fail_lock,83,83.0,0.09085217591570355,0.8753835201318934,0.0,0.4858897846565312
profile1d_quadratic__robust_ossm_ukf,fail_lock,84,84.0,0.09955617204925048,0.8752700890274981,0.0,0.46173467390399264
profile1d_quadratic__robust_ossm_ukf,fail_lock,85,85.0,0.10511606212983896,0.87944561952566,0.0,0.43592758747635324
profile1d_quadratic__robust_ossm_ukf,fail_lock,86,86.0,0.10879948809047431,0.8847449934787378,0.0,0.4087714300837761
profile1d_quadratic__robust_ossm_ukf,fail_lock,87,87.0,0.11026452904961033,0.889107840371977,0.0,0.3805749490289162
profile1d_quadratic__robust_ossm_ukf,fail_lock,88,88.0,0.10964948194195479,0.8922920069554078,0.0,0.3516623837271843
profile1d_quadratic__robust_ossm_ukf,fail_lock,89,89.0,0.10801952787858617,0.8941168395231216,0.0,0.32238717652288634
profile1d_quadratic__robust_ossm_ukf,fail_lock,90,90.0,0.1042567310011597,0.894514643722611,0.0010218319218343436,0.2931460132318342
profile1d_quadratic__robust_ossm_ukf,fail_lock,91,91.0,0.09964531307552747,0.8930515132061092,0.005300148554139156,0.2643901300286748
profile1d_quadratic__robust_ossm_ukf,fail_lock,92,92.0,0.0928592842907155,0.8885440561282144,0.009383392505341547,0.23663152579203534
profile1d_quadratic__robust_ossm_ukf,fail_lock,93,93.0,0.08256190258857418,0.877869225634799,0.01310115221958054,0.21044178823604548
profile1d_quadratic__robust_ossm_ukf,fail_lock,94,94.0,0.0715936648041733,0.8525305850343431,0.016131647505127404,0.18644069851922815
profile1d_quadratic__robust_ossm_ukf,fail_lock,95,95.0,0.06055133179842854,0.7878718655957744,0.017686332930729295,0.1652723499499272
profile1d_quadratic__robust_ossm_ukf,fail_lock,96,96.0,0.04964127282501247,0.7245783228299405,0.018402576109331603,0.14756842338711204
profile1d_quadratic__robust_ossm_ukf,fail_lock,97,97.0,0.039384633135912055,0.7255731474071815,0.020080234365288125,0.1339006155817841
profile1d_quadratic__robust_ossm_ukf,fail_lock,98,98.0,0.029583915780814835,0.726643213675241,0.021220298235350824,0.12472726803180506
profile1d_quadratic__robust_ossm_ukf,fail_lock,99,99.0,0.01979665738960143,0.7275407618369018,0.021778216026524726,0.12034252059665736
profile1d_quadratic__robust_ossm_ukf,fail_lock,100,100.0,0.011454376539659434,0.7286213914669282,0.021751168790501638,0.1208382497186091
profile1d_quadratic__robust_ossm_ukf,fail_lock,101,101.0,0.005176536214335594,0.7294406983250529,0.021138693993896188,0.126088145210562
profile1d_quadratic__robust_ossm_ukf,fail_lock,102,102.0,0.0012029236342449851,0.7300968181925543,0.019982478234884027,0.13575899881372774
profile1d_quadratic__robust_ossm_ukf,fail_lock,103,103.0,2.5698733098730782e-05,0.7304895510318675,0.018340410506555407,0.14934774227804073
