gt_freq_hz,gt_rr_bpm,snr_of_db,snr_OF_db,freq_mae_OF_base,freq_mae_OF_kfstd,freq_mae_OF_qrobf,snr_P1D-Cubic_db,freq_mae_P1D-Cubic_base,freq_mae_P1D-Cubic_kfstd,freq_mae_P1D-Cubic_qrobf,snr_P1D-Linear_db,freq_mae_P1D-Linear_base,freq_mae_P1D-Linear_kfstd,freq_mae_P1D-Linear_qrobf,snr_P1D-Quad_db,freq_mae_P1D-Quad_base,freq_mae_P1D-Quad_kfstd,freq_mae_P1D-Quad_qrobf,snr_DoF_db,freq_mae_DoF_base,freq_mae_DoF_kfstd,freq_mae_DoF_qrobf,trial_id,pkl_path,tier,tier_order,freq_mae_OF_base_eval,freq_mae_OF_kfstd_eval,freq_mae_OF_qrobf_eval,freq_mae_P1D-Cubic_base_eval,freq_mae_P1D-Cubic_kfstd_eval,freq_mae_P1D-Cubic_qrobf_eval,freq_mae_P1D-Linear_base_eval,freq_mae_P1D-Linear_kfstd_eval,freq_mae_P1D-Linear_qrobf_eval,freq_mae_P1D-Quad_base_eval,freq_mae_P1D-Quad_kfstd_eval,freq_mae_P1D-Quad_qrobf_eval,freq_mae_DoF_base_eval,freq_mae_DoF_kfstd_eval,freq_mae_DoF_qrobf_eval
0.1304791029561672,7.828746177370031,-5.922266230155317,-5.922266230155317,5.3125,3.875,3.4375,-5.312994785641708,2.125,2.1875,2.1875,-5.762489507071097,2.0625,2.0625,2.0625,-5.181274844674068,2.125,2.1875,2.1875,0.3130133663160788,2.25,2.125,1.4375,cohface_13_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_13_3.pkl,Very Poor,0,2.11,1.78,3.0,1.77,1.76,1.81,1.23,1.83,1.92,1.77,1.75,0.69,2.37,1.14,0.73
0.24024024024024024,14.414414414414415,-3.8032068290282375,-3.8032068290282375,3.6363636363636362,0.9090909090909091,1.4545454545454546,3.653020991313393,0.5454545454545454,0.48484848484848486,0.6060606060606061,-2.2047744715792432,0.5454545454545454,0.5454545454545454,0.48484848484848486,3.856795145741846,0.5454545454545454,0.48484848484848486,0.6666666666666666,-3.343014139219127,6.303030303030303,1.1515151515151516,1.696969696969697,cohface_14_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_14_0.pkl,Very Poor,0,1.49,1.03,1.7,0.62,0.6,0.62,0.61,0.6,0.59,0.61,0.59,0.6,5.84,0.97,1.98
0.19611848825331973,11.767109295199184,-3.7926834557262907,-3.7926834557262907,0.125,0.0,0.0,5.380429837913407,0.0,0.0,0.0,8.144708002785228,0.0,0.0,0.0,5.556428203252242,0.0,0.0,0.0,-4.33683331614325,12.375,12.0625,9.9375,cohface_15_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_15_1.pkl,Very Poor,0,0.12,0.11,0.13,0.11,0.11,0.1,0.09,0.09,0.09,0.1,0.11,0.09,11.01,11.75,4.67
0.12968591691995948,7.781155015197569,-3.9612707784942582,-3.9612707784942582,1.1875,0.3125,0.5625,-1.513693700758323,0.125,0.1875,0.1875,-4.524135684347276,0.125,0.0,0.375,-1.4841330805569894,0.125,0.1875,0.1875,1.7986420193605217,3.0,3.0,4.0,cohface_16_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_16_0.pkl,Very Poor,0,0.48,0.31,0.32,0.12,0.19,0.2,0.51,0.28,0.8,0.11,0.19,0.11,2.29,2.81,3.52
0.32586558044806513,19.551934826883908,-4.26746073511748,-4.26746073511748,1.625,1.1875,0.8125,1.4922908314009755,1.25,0.75,1.1875,-2.7299666563960874,3.375,1.5625,0.9375,1.2590958960959253,1.125,0.75,0.5625,-0.6414347757649225,2.125,0.25,0.75,cohface_18_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_18_2.pkl,Very Poor,0,1.68,0.44,0.52,0.3,0.29,0.47,1.75,1.13,0.91,0.27,0.28,0.26,3.08,0.38,1.47
0.21487603305785125,12.892561983471074,-4.029059826310485,-4.029059826310485,0.6451612903225806,0.3870967741935484,0.25806451612903225,-2.9595583970073274,0.9032258064516129,0.5161290322580645,0.5161290322580645,-5.144742661448488,1.935483870967742,0.7096774193548387,1.1612903225806452,-2.8581647143157407,0.9032258064516129,0.5161290322580645,0.8387096774193549,0.5967106222803902,1.3548387096774193,0.967741935483871,0.967741935483871,cohface_19_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_19_0.pkl,Very Poor,0,0.14,0.14,0.21,0.23,0.22,0.28,0.21,0.24,0.27,0.22,0.18,0.26,0.31,0.31,0.39
0.3309203722854188,19.855222337125127,-4.452488342888995,-4.452488342888995,7.225806451612903,5.67741935483871,3.4838709677419355,-3.1457208228118665,3.096774193548387,2.774193548387097,4.064516129032258,-5.691246888769244,7.806451612903226,5.354838709677419,2.3225806451612905,-3.151504194404967,2.4516129032258065,2.5161290322580645,3.935483870967742,-5.54626159939406,6.0,4.193548387096774,7.354838709677419,cohface_21_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_21_2.pkl,Very Poor,0,5.38,5.63,5.14,4.23,3.49,3.99,6.59,6.45,4.5,4.09,3.21,3.95,7.1,3.77,5.94
0.1299492385786802,7.7969543147208125,-5.5792549565898755,-5.5792549565898755,7.125,0.0,0.1875,-2.1299241290101985,0.5625,0.5,3.375,-4.422535159376794,1.25,0.0,0.375,-2.0994832235434306,0.625,0.5,0.0,3.066744536813055,0.5,0.4375,0.4375,cohface_26_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_26_0.pkl,Very Poor,0,5.11,2.73,4.26,2.81,2.48,3.31,1.42,0.37,1.51,2.8,2.29,2.27,0.37,0.32,0.4
0.08138351983723296,4.883011190233978,-5.166477349891893,-5.166477349891893,2.875,2.875,9.625,-1.3915364662418233,1.75,4.3125,5.875,-4.136566960812664,0.9375,4.5,5.4375,-1.3042413903899073,1.75,4.3125,4.875,0.09471351946279416,0.0,1.125,5.875,cohface_26_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_26_1.pkl,Very Poor,0,6.84,6.68,9.96,4.27,4.21,4.69,4.34,4.39,4.57,4.26,4.22,5.22,2.0,2.16,5.84
0.096,5.76,-4.960976026441839,-4.960976026441839,0.9090909090909091,2.121212121212121,2.3636363636363638,-0.8782297560500294,0.42424242424242425,0.8484848484848485,4.545454545454546,-3.907167416414734,4.121212121212121,2.8484848484848486,2.8484848484848486,-0.7622621427047833,0.36363636363636365,0.6666666666666666,1.393939393939394,-2.874964562196278,0.36363636363636365,3.5757575757575757,4.848484848484849,cohface_26_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_26_2.pkl,Very Poor,0,2.14,2.28,2.16,2.81,3.32,6.13,5.63,3.33,3.29,2.79,3.3,3.36,3.0,4.1,6.63
